contrast,left,right,noise_type,metric,mean_paired_difference,sd_paired_difference,ci_low,ci_high
HBB_minus_HHB,HBB,HHB,pixel_masking,representation_cosine_auc,-0.0005758285522460716,0.0011015661164799375,-0.0013096600770951205,0.00043569207191478386
HBB_minus_HHB,HBB,HHB,pixel_masking,prediction_js_divergence_auc,-0.004336777585558594,0.0028701464958689896,-0.006415711529552939,-0.0019853413337841638
BBB_minus_HHB,BBB,HHB,gaussian,accuracy_auc,0.040617500000000015,0.052925878742114504,-0.001317500000000038,0.08255250000000007
BBB_minus_HHB,BBB,HHB,gaussian,accuracy_degradation_auc,-0.04463749999999997,0.054714706803792715,-0.08831249999999997,-0.0009624999999999606
BBB_minus_HHB,BBB,HHB,gaussian,macro_f1_auc,0.04315390399778836,0.055233630502092165,0.00021300896645424228,0.08609479902912247
BBB_minus_HHB,BBB,HHB,gaussian,system_reconstruction_mse_increase_auc,-0.006264403279125691,0.0012162899279671237,-0.007283250546175607,-0.00538463196258764
BBB_minus_HHB,BBB,HHB,gaussian,standardized_reconstruction_mse_increase_auc,-0.00835134471493108,0.0024863558207097293,-0.010321466675917716,-0.006471739094920307
BBB_minus_HHB,BBB,HHB,gaussian,representation_cosine_auc,0.00971363037824633,0.006652222685590805,0.00489888191223149,0.01544558107852929
BBB_minus_HHB,BBB,HHB,gaussian,prediction_js_divergence_auc,-0.02656011106446385,0.029963910056586916,-0.050218683201819644,-0.0029015389271080465
BBB_minus_HHB,BBB,HHB,salt_pepper,accuracy_auc,-0.022035000000000027,0.06939265282164243,-0.06789750000000001,0.03831249999999997
BBB_minus_HHB,BBB,HHB,salt_pepper,accuracy_degradation_auc,0.018015000000000003,0.0691742474886789,-0.04109250000000001,0.0640775
BBB_minus_HHB,BBB,HHB,salt_pepper,macro_f1_auc,-0.01718601843896983,0.09219325360232149,-0.08136623559409488,0.06395594487559766
BBB_minus_HHB,BBB,HHB,salt_pepper,system_reconstruction_mse_increase_auc,-0.001469524710233114,0.001881512565197322,-0.0027693074505122325,0.00022307674813027144
BBB_minus_HHB,BBB,HHB,salt_pepper,standardized_reconstruction_mse_increase_auc,-0.004246815519685647,0.003926081089612057,-0.007651846659919433,-0.0014344090299825293
BBB_minus_HHB,BBB,HHB,salt_pepper,representation_cosine_auc,-0.0036348223686218485,0.010224170530372358,-0.01137762814760217,0.004147705435752847
BBB_minus_HHB,BBB,HHB,salt_pepper,prediction_js_divergence_auc,0.007676935940980905,0.049397468076386244,-0.03450745679438115,0.04101229831576347
BBB_minus_HHB,BBB,HHB,pixel_masking,accuracy_auc,0.004729999999999989,0.006938719487412691,-0.0005150000000000432,0.010150000000000037
BBB_minus_HHB,BBB,HHB,pixel_masking,accuracy_degradation_auc,-0.008749999999999985,0.006675005852057338,-0.013862499999999977,-0.003637499999999997
BBB_minus_HHB,BBB,HHB,pixel_masking,macro_f1_auc,0.004588181476316655,0.006765592993728638,-0.0006047666087809267,0.009781129561414238
BBB_minus_HHB,BBB,HHB,pixel_masking,system_reconstruction_mse_increase_auc,-0.0011856532975666385,0.0009933162081252349,-0.001961228191664026,-0.0004100784034692509
BBB_minus_HHB,BBB,HHB,pixel_masking,standardized_reconstruction_mse_increase_auc,-0.00028456182680567895,0.0014708288425994052,-0.001327486480583949,0.0009581292089150872
BBB_minus_HHB,BBB,HHB,pixel_masking,representation_cosine_auc,-0.0004230916500091553,0.0013744287441616466,-0.0013219267129897406,0.0007742583751678689
BBB_minus_HHB,BBB,HHB,pixel_masking,prediction_js_divergence_auc,-0.004711222741752864,0.002917935485549709,-0.006931149750016632,-0.002498262212611735
