seed,method,noise_type,accuracy_auc,accuracy_degradation_auc,macro_f1_auc,system_reconstruction_mse_increase_auc,standardized_reconstruction_mse_increase_auc,representation_cosine_auc,prediction_js_divergence_auc
1,HHB,pixel_masking,0.88115,0.03515000000000001,0.8798575117532271,0.011802535504467634,0.01102725294828415,0.989249050617218,0.025309385731816295
1,HBB,gaussian,0.8318500000000001,0.08564999999999999,0.8301007959689124,0.0115548794099871,0.011710347279845452,0.9721709042787552,0.059637960279360414
1,HBB,salt_pepper,0.566775,0.35072500000000006,0.5282495831501918,0.03188584051551868,0.033056147989326594,0.9355360120534897,0.22475755587220195
1,HBB,pixel_masking,0.893175,0.02432499999999997,0.8925565083375597,0.011193905961817626,0.012220073624897979,0.9883085042238235,0.019326295005157593
2,BBB,gaussian,0.7417625,0.1769375,0.728548767766158,0.011905054438996072,0.012264244585164955,0.9642515927553177,0.11222114041447638
2,BBB,salt_pepper,0.5250374999999999,0.3936624999999999,0.48706568884027535,0.03229801450691053,0.033391565602926575,0.918378546833992,0.2541033364832401
2,BBB,pixel_masking,0.8928875,0.02581249999999995,0.8910762016172769,0.009032241474031186,0.00992311354100096,0.9874638617038728,0.018852165201678872
2,HHH,gaussian,0.714225,0.17217499999999997,0.6946219800745449,0.019749203539867793,0.019180576640732434,0.9999087899923326,0.11469623446464539
2,HHH,salt_pepper,0.597175,0.28922499999999995,0.5734080204561973,0.03622814023300093,0.03598795407937498,0.9998305290937423,0.19303586147725585
2,HHH,pixel_masking,0.8503499999999999,0.03604999999999994,0.8478871725663268,0.007505889741255312,0.007446464523490597,0.9999757185578347,0.02959287399426103
2,HHB,gaussian,0.7513749999999999,0.16822499999999996,0.7446370061560359,0.01802994899755838,0.017498806159836906,0.962134800851345,0.10881807003170252
2,HHB,salt_pepper,0.6039249999999999,0.315675,0.5872167845511215,0.034017200370284974,0.03411675274688371,0.9350576624274254,0.2037700079381466
2,HHB,pixel_masking,0.8925125,0.02708749999999996,0.891458201271832,0.010483635341938663,0.011548700103224539,0.9888322353363038,0.02200627163983881
2,HBB,gaussian,0.839,0.07539999999999998,0.8389709799060643,0.011049143904143452,0.010842841552106703,0.9703734442591666,0.05276495241560042
2,HBB,salt_pepper,0.5072374999999999,0.4071624999999999,0.4803672437902171,0.03350933657477096,0.0348506513078602,0.9247405529022218,0.26677121967077255
2,HBB,pixel_masking,0.8917375000000001,0.02266249999999999,0.8904028637253625,0.010320311478023626,0.01218316236770883,0.9871680438518523,0.01862339000217617
3,BBB,gaussian,0.8224250000000002,0.08967500000000005,0.8197417956331101,0.010333630168437958,0.010576042406808357,0.9707385897636414,0.06325784372165799
3,BBB,salt_pepper,0.5144374999999999,0.39766250000000003,0.4869057952626885,0.0330857698236193,0.033481608313960694,0.9250625371932982,0.2583462744951248
3,BBB,pixel_masking,0.8871124999999999,0.02498750000000001,0.8857181298939713,0.010753404928956715,0.012677168967073061,0.9874822646379472,0.020849540829658512
3,HHH,gaussian,0.5969749999999999,0.29202500000000003,0.5878998475611841,0.019716004317633963,0.018170088610843734,0.99989964812994,0.18871545419096947
3,HHH,salt_pepper,0.507625,0.38137499999999996,0.4954427728671486,0.03541795191862145,0.03266958105174862,0.9998309835791588,0.2522420324385166
3,HHH,pixel_masking,0.8502124999999999,0.0387875,0.8488249533463045,0.006903696920920394,0.008208919729505267,0.9999762400984763,0.03029265766963363
3,HHB,gaussian,0.7397500000000001,0.18425000000000002,0.7396210401893184,0.015253569273620237,0.017453820245119992,0.9639849811792374,0.11267954995855689
3,HHB,salt_pepper,0.5723999999999999,0.3516000000000001,0.5590870715967458,0.031454177261919396,0.03492688462904522,0.9351147934794426,0.22437800467014316
3,HHB,pixel_masking,0.8859374999999999,0.03806250000000004,0.8842420855352571,0.010708995817449628,0.010664261029934398,0.9889819622039794,0.025217213784344498
3,HBB,gaussian,0.8520375,0.06586250000000002,0.84976632854678,0.010362017979822597,0.010258469106956403,0.9714999571442604,0.04977564583532512
3,HBB,salt_pepper,0.5829125,0.33498750000000005,0.5619862706270387,0.030975780334551728,0.03209745150232802,0.9331932067871093,0.21056700125336647
3,HBB,pixel_masking,0.8978625000000001,0.02003750000000006,0.8963128010818523,0.01063076600544915,0.011143575308152609,0.9882570058107377,0.017400664393790066
4,BBB,gaussian,0.7806124999999999,0.1358875,0.7718186362230691,0.011436541692882168,0.0111575607580798,0.9743627533316612,0.08641904313117267
4,BBB,salt_pepper,0.6812874999999999,0.2352125,0.6751387333783611,0.02939927832818761,0.029535910103150778,0.9396781921386719,0.14533156342804432
