contrast,left,right,noise_type,severity,metric,mean_paired_difference,sd_paired_difference,ci_low,ci_high
HHB_minus_HHH,HHB,HHH,pixel_masking,0.1,accuracy,0.027959999999999985,0.011725954118961927,0.01811999999999998,0.03657999999999999
HHB_minus_HHH,HHB,HHH,pixel_masking,0.1,macro_f1,0.028145976984264597,0.011867923714969121,0.018262791406432832,0.03690623095310832
HHB_minus_HHH,HHB,HHH,pixel_masking,0.1,classification_ce,-0.0872866928577423,0.032480989665191105,-0.10776852965354919,-0.05818212628364563
HHB_minus_HHH,HHB,HHH,pixel_masking,0.1,system_reconstruction_mse,-0.01268852907647892,0.0016202620271631278,-0.013933511416376854,-0.011462328594752718
HHB_minus_HHH,HHB,HHH,pixel_masking,0.1,standardized_reconstruction_mse,-0.013111384912607622,0.001607184953418045,-0.014304544516777507,-0.011839489378831825
HHB_minus_HHH,HHB,HHH,pixel_masking,0.1,representation_cosine,-0.0040485143661499025,0.0002012681099800582,-0.0042135357856750485,-0.0038998961448669434
HHB_minus_HHH,HHB,HHH,pixel_masking,0.1,prediction_js_divergence,-0.0035786500200629236,0.0010380749965426077,-0.004330665059387684,-0.0026767786592245104
HHB_minus_HHH,HHB,HHH,pixel_masking,0.1,accuracy_absolute_degradation,-0.002200000000000002,0.0014212670403551794,-0.0032999999999999917,-0.001100000000000012
HHB_minus_HHH,HHB,HHH,pixel_masking,0.1,accuracy_relative_degradation,-0.002770025242219503,0.0016868958091529429,-0.004084309945049314,-0.001455740539389691
HHB_minus_HHH,HHB,HHH,pixel_masking,0.1,macro_f1_absolute_degradation,-0.002257625222875137,0.001500138777448786,-0.003425989596131429,-0.0011251374707127448
HHB_minus_HHH,HHB,HHH,pixel_masking,0.1,system_reconstruction_mse_increase,0.0011644458462267517,0.00035843010386910946,0.0008764635341994627,0.001424520756663109
HHB_minus_HHH,HHB,HHH,pixel_masking,0.1,standardized_reconstruction_mse_increase,0.0010089030571373136,0.0003879301051326693,0.0007101604307914262,0.0013215099903028829
HHB_minus_HHH,HHB,HHH,pixel_masking,0.2,accuracy,0.030359999999999963,0.011876573579951415,0.02011999999999996,0.038919999999999955
HHB_minus_HHH,HHB,HHH,pixel_masking,0.2,macro_f1,0.030880620910282562,0.012024456961703471,0.020544528060096434,0.039498040995210947
HHB_minus_HHH,HHB,HHH,pixel_masking,0.2,classification_ce,-0.09229775071144104,0.03340124541504994,-0.11297516226768493,-0.06281517744064331
HHB_minus_HHH,HHB,HHH,pixel_masking,0.2,system_reconstruction_mse,-0.010957552113046453,0.0016123469720440678,-0.012262313918288874,-0.009717490656716484
HHB_minus_HHH,HHB,HHH,pixel_masking,0.2,standardized_reconstruction_mse,-0.01154044639392775,0.0015473515467183234,-0.012650135305754992,-0.010184609045301166
HHB_minus_HHH,HHB,HHH,pixel_masking,0.2,representation_cosine,-0.00945441722869873,0.000314325543221377,-0.00970240831375122,-0.009206426143646241
HHB_minus_HHH,HHB,HHH,pixel_masking,0.2,prediction_js_divergence,-0.005971963703632355,0.0019959988995439317,-0.007475800067186356,-0.004295829311013221
HHB_minus_HHH,HHB,HHH,pixel_masking,0.2,accuracy_absolute_degradation,-0.004599999999999982,0.003865229618017553,-0.008120000000000016,-0.002119999999999922
HHB_minus_HHH,HHB,HHH,pixel_masking,0.2,accuracy_relative_degradation,-0.005958611881618247,0.00432324761515124,-0.009871140536020192,-0.0033749692668544767
HHB_minus_HHH,HHB,HHH,pixel_masking,0.2,macro_f1_absolute_degradation,-0.004992269148893102,0.004261383471665501,-0.008897634120898746,-0.0019740821099697436
HHB_minus_HHH,HHB,HHH,pixel_masking,0.2,system_reconstruction_mse_increase,0.0028954228096592185,0.0006357337395774633,0.00238027929033552,0.0033640700312049998
HHB_minus_HHH,HHB,HHH,pixel_masking,0.2,standardized_reconstruction_mse_increase,0.002579841575817186,0.000766093297948209,0.002022560263653192,0.003231814054372359
HHB_minus_HHH,HHB,HHH,pixel_masking,0.3,accuracy,0.03016000000000001,0.015347573098050363,0.016940000000000045,0.04134
HHB_minus_HHH,HHB,HHH,pixel_masking,0.3,macro_f1,0.03085601053958671,0.015603348762735919,0.01717072918566278,0.04194031132039731
HHB_minus_HHH,HHB,HHH,pixel_masking,0.3,classification_ce,-0.10176626443862916,0.03865953013716926,-0.12792164087295532,-0.06989954113960266
HHB_minus_HHH,HHB,HHH,pixel_masking,0.3,system_reconstruction_mse,-0.008722538767444844,0.0017478222504604464,-0.010101969869185467,-0.00733736376392598
HHB_minus_HHH,HHB,HHH,pixel_masking,0.3,standardized_reconstruction_mse,-0.00942688236937231,0.0016597902891328942,-0.01065212095542829,-0.007950677338424994
HHB_minus_HHH,HHB,HHH,pixel_masking,0.3,representation_cosine,-0.01673680543899536,0.0004453106451901302,-0.01703627109527588,-0.016374337673187255
HHB_minus_HHH,HHB,HHH,pixel_masking,0.3,prediction_js_divergence,-0.008486460894346237,0.003059057027174875,-0.010567847639322281,-0.005791234225034714
HHB_minus_HHH,HHB,HHH,pixel_masking,0.3,accuracy_absolute_degradation,-0.004400000000000026,0.006091387362497951,-0.00970000000000002,-0.00022000000000004237
HHB_minus_HHH,HHB,HHH,pixel_masking,0.3,accuracy_relative_degradation,-0.006507827952127461,0.007161422487506026,-0.012506499760677465,-0.0014855366651097574
HHB_minus_HHH,HHB,HHH,pixel_masking,0.3,macro_f1_absolute_degradation,-0.004967658778197248,0.006617581958169813,-0.010555866384009849,-0.0006270763911312427
