sweep,method,metric,baseline_case,baseline_value,minimum,maximum,sensitivity,layer,noise_type,rule
architecture,BBB,between_within_scatter_ratio,balanced,0.11004322856452134,0.10932189079017536,0.11176379054227192,0.02219036813012643,h1,,
architecture,BBB,silhouette_score,balanced,-0.028580419717087226,-0.033131488319773125,-0.02586052414772209,0.25440368769145744,h1,,
architecture,BBB,effective_rank,balanced,4.30995940156323,4.30995940156323,5.127396188759374,0.1896622940112775,h2,,
architecture,BBB,stable_rank,balanced,2.253398276366468,2.253398276366468,2.665950326307468,0.1830799527396656,h2,,
architecture,BBB,winner_coverage_ratio,balanced,1.0,0.9928571428571429,1.0,0.007142857142849974,h2,,
architecture,BBB,winner_entropy,balanced,0.941798478730635,0.9146520351683763,0.941798478730635,0.028824046943480005,h2,,
architecture,BBB,max_winner_share,balanced,0.08038516938848046,0.08038516938848046,0.09863129867619456,0.22698377606581077,h2,,
architecture,BBB,linear_probe_cv_accuracy,balanced,0.9190000000000002,0.9190000000000002,0.9207000000000001,0.0018498367791056297,h2,,
architecture,BBB,knn_cv_accuracy,balanced,0.8748000000000001,0.8718999999999999,0.8793,0.00845907636030134,h2,,
architecture,BBB,between_within_scatter_ratio,balanced,0.12101574330868219,0.12101574330868219,0.12426573233365176,0.026855919205923288,h2,,
architecture,BBB,silhouette_score,balanced,-0.016027557329648136,-0.016027557329648136,-0.006071010431300167,0.6212142432527077,h2,,
architecture,BBB,effective_rank,balanced,20.268654129908928,15.5331006678574,20.268654129908928,0.23363926542430827,z,,
architecture,BBB,stable_rank,balanced,7.11449822093279,5.868803570621895,7.11449822093279,0.17509241152742813,z,,
architecture,BBB,winner_coverage_ratio,balanced,0.85,0.5625,0.85,0.3382352941172491,z,,
architecture,BBB,winner_entropy,balanced,0.8938356231243503,0.7004845545648769,0.8938356231243503,0.21631613638692276,z,,
architecture,BBB,max_winner_share,balanced,0.06735714285714287,0.06492857142857142,0.15498402670775552,1.3369844898089707,z,,
architecture,BBB,linear_probe_cv_accuracy,balanced,0.8605,0.8122999999999999,0.8708,0.06798373038922965,z,,
architecture,BBB,knn_cv_accuracy,balanced,0.9241999999999999,0.8607000000000001,0.9257,0.0703310971650395,z,,
architecture,BBB,between_within_scatter_ratio,balanced,0.1097315847650618,0.09138216268449492,0.1104180515962192,0.17347684308312086,z,,
architecture,BBB,silhouette_score,balanced,-0.02641349345245143,-0.029308196576537725,-0.011126638314324432,0.6883435655436757,z,,
architecture,HBB,effective_rank,balanced,1.3607151779211093,1.3607151779211093,1.4856594820161466,0.09182252547945742,h1,,
architecture,HBB,stable_rank,balanced,1.1726882926573663,1.1726882926573663,1.2336205893137573,0.05195949941502665,h1,,
architecture,HBB,winner_coverage_ratio,balanced,0.9,0.88125,0.95,0.07638888888880399,h1,,
architecture,HBB,winner_entropy,balanced,0.6196834921396143,0.6196834921396143,0.7342161103982943,0.18482438165819504,h1,,
architecture,HBB,max_winner_share,balanced,0.34213377109503873,0.10769889607917778,0.6168575984944121,1.4881860413373542,h1,,
architecture,HBB,linear_probe_cv_accuracy,balanced,0.8919,0.8743000000000001,0.9,0.028814889561577677,h1,,
architecture,HBB,knn_cv_accuracy,balanced,0.807,0.7677,0.8183,0.06270136307303256,h1,,
architecture,HBB,between_within_scatter_ratio,balanced,0.1087670037049759,0.1071840404958142,0.10917918870428105,0.018343322335698627,h1,,
architecture,HBB,silhouette_score,balanced,-0.032309748389203544,-0.039055324927503535,-0.032309748389203544,0.20877836796603713,h1,,
architecture,HBB,effective_rank,balanced,4.170892713952386,3.782469625310859,5.762051942976616,0.47461837391386835,h2,,
architecture,HBB,stable_rank,balanced,2.2165277120756777,2.08267289664648,2.8436182582143736,0.343305142282638,h2,,
architecture,HBB,winner_coverage_ratio,balanced,1.0,1.0,1.0,0.0,h2,,
architecture,HBB,winner_entropy,balanced,0.9434841335084247,0.9067239610410611,0.9434841335084247,0.0389621522628355,h2,,
architecture,HBB,max_winner_share,balanced,0.08360177338795668,0.0752805937954587,0.1190726502921351,0.5238173153688277,h2,,
architecture,HBB,linear_probe_cv_accuracy,balanced,0.9138,0.9138,0.921,0.00787918581745701,h2,,
architecture,HBB,knn_cv_accuracy,balanced,0.8763,0.8506,0.8800000000000001,0.033550154056791674,h2,,
