sweep,case,contrast,metric,mean_paired_difference,sd_paired_difference,ci_low,ci_high
dimension,L128,BBB_minus_HHB,standardized_reconstruction_mse,-0.0013448591619121784,0.00013328599070375476,-0.0014448526413100107,-0.0012457557079743366
dimension,L128,BBB_minus_HHB,system_training_samples_seen,-1000000.0,0.0,-1000000.0,-1000000.0
dimension,L128,BBB_minus_HHB,system_training_wall_time_sec,-256.10643100000163,96.10637732943262,-338.1216355200042,-185.8294366199989
dimension,L128,BBB_minus_HHB,standardized_decoder_samples_seen,0.0,0.0,0.0,0.0
dimension,L128,BBB_minus_HHB,standardized_decoder_wall_time_sec,-21.92321353999723,29.87639450580839,-46.18554360000125,0.18649724000133575
dimension,L128,BBB_minus_HHB,total_training_samples_seen,-1000000.0,0.0,-1000000.0,-1000000.0
dimension,L128,BBB_minus_HHB,total_training_wall_time_sec,-278.02964453999886,76.32281774137549,-338.9345550200087,-219.8249224799976
architecture,early_heavy,HHB_minus_HHH,accuracy,0.023540000000000005,0.006468616544517046,0.01888000000000003,0.02901999999999998
architecture,early_heavy,HHB_minus_HHH,macro_f1,0.023947911286222357,0.006479165626419033,0.01921510966455444,0.029406530016017295
architecture,early_heavy,HHB_minus_HHH,classification_ce,-0.06511990427970886,0.020515014300262868,-0.08187506198883057,-0.04968256950378418
architecture,early_heavy,HHB_minus_HHH,system_reconstruction_mse,-0.02241068463237918,0.005615788993481682,-0.026703924527557526,-0.0176804518195561
architecture,early_heavy,HHB_minus_HHH,standardized_reconstruction_mse,-0.02417539785180773,0.0045212371786161245,-0.027241124703348902,-0.020277591228679736
architecture,early_heavy,HHB_minus_HHH,system_training_samples_seen,-500000.0,0.0,-500000.0,-500000.0
architecture,early_heavy,HHB_minus_HHH,system_training_wall_time_sec,-289.85602998000104,454.730924709229,-698.2640406000195,-71.29604081998113
architecture,early_heavy,HHB_minus_HHH,standardized_decoder_samples_seen,0.0,0.0,0.0,0.0
architecture,early_heavy,HHB_minus_HHH,standardized_decoder_wall_time_sec,10.07320391999092,29.17101609829012,-15.669458439946174,28.938522999943235
architecture,early_heavy,HHB_minus_HHH,total_training_samples_seen,-500000.0,0.0,-500000.0,-500000.0
architecture,early_heavy,HHB_minus_HHH,total_training_wall_time_sec,-279.7828260600101,482.05894573707116,-713.8923625999596,-44.45295865996741
architecture,early_heavy,HBB_minus_HHB,accuracy,-0.0020400000000000197,0.002076776348093357,-0.0036000000000000255,-0.00040000000000004474
architecture,early_heavy,HBB_minus_HHB,macro_f1,-0.002117212632902965,0.002040967813162359,-0.0036572821887967287,-0.0004989915489133523
architecture,early_heavy,HBB_minus_HHB,classification_ce,-0.005869024991989135,0.008175920828091328,-0.012724840641021728,0.0002431333065032959
architecture,early_heavy,HBB_minus_HHB,system_reconstruction_mse,-0.0013816172447983102,0.0004773236792872123,-0.001676260824982001,-0.0009677656784836128
architecture,early_heavy,HBB_minus_HHB,standardized_reconstruction_mse,-0.0008108174094375298,0.0005869914492962042,-0.0012442081562353637,-0.0003232282784520362
architecture,early_heavy,HBB_minus_HHB,system_training_samples_seen,-500000.0,0.0,-500000.0,-500000.0
architecture,early_heavy,HBB_minus_HHB,system_training_wall_time_sec,-103.45636066002771,29.17170550938916,-127.08640391998924,-82.82272314003202
architecture,early_heavy,HBB_minus_HHB,standardized_decoder_samples_seen,0.0,0.0,0.0,0.0
architecture,early_heavy,HBB_minus_HHB,standardized_decoder_wall_time_sec,66.9757978399517,56.13773517688838,23.2941714999266,110.6574241799768
architecture,early_heavy,HBB_minus_HHB,total_training_samples_seen,-500000.0,0.0,-500000.0,-500000.0
architecture,early_heavy,HBB_minus_HHB,total_training_wall_time_sec,-36.48056282007601,83.92077385110318,-102.66103398003615,27.230265099951065
architecture,early_heavy,BBB_minus_HHB,accuracy,-0.0020200000000000218,0.002036418424587624,-0.0035599999999999855,-0.0004600000000000382
architecture,early_heavy,BBB_minus_HHB,macro_f1,-0.002166788597256231,0.002092733882284235,-0.0037261861730989664,-0.00048630952968733434
architecture,early_heavy,BBB_minus_HHB,classification_ce,-0.0032418549060821535,0.007053350396244349,-0.008708328008651733,0.0020871758460998535
architecture,early_heavy,BBB_minus_HHB,system_reconstruction_mse,-0.0017701529440587878,0.00026358530467263927,-0.0019685122544911447,-0.0015686141134281545
architecture,early_heavy,BBB_minus_HHB,standardized_reconstruction_mse,-0.0006521250232385128,0.0005353444478164993,-0.0009596543641966213,-0.00016554753974992368
architecture,early_heavy,BBB_minus_HHB,system_training_samples_seen,-1000000.0,0.0,-1000000.0,-1000000.0
architecture,early_heavy,BBB_minus_HHB,system_training_wall_time_sec,-125.30651714001434,112.48345497259484,-204.05927320001646,-26.202057760010938
architecture,early_heavy,BBB_minus_HHB,standardized_decoder_samples_seen,0.0,0.0,0.0,0.0
architecture,early_heavy,BBB_minus_HHB,standardized_decoder_wall_time_sec,161.38692951999548,256.9975230650525,31.308441979973576,392.5737026999501
architecture,early_heavy,BBB_minus_HHB,total_training_samples_seen,-1000000.0,0.0,-1000000.0,-1000000.0
architecture,early_heavy,BBB_minus_HHB,total_training_wall_time_sec,36.080412379981134,362.5419454720523,-172.7508312200429,361.7391977799678
architecture,balanced,HHB_minus_HHH,accuracy,0.025759999999999984,0.010491091458947437,0.01664000000000001,0.03328
architecture,balanced,HHB_minus_HHH,macro_f1,0.025888351761389462,0.01062186219231368,0.016668275889768002,0.03351611797807079
architecture,balanced,HHB_minus_HHH,classification_ce,-0.07791888117790222,0.029439310324900488,-0.09634326100349426,-0.05137677192687988
architecture,balanced,HHB_minus_HHH,system_reconstruction_mse,-0.01385297492270567,0.0017816332429896312,-0.015248216785411444,-0.012457733059999896
architecture,balanced,HHB_minus_HHH,standardized_reconstruction_mse,-0.014120287969744936,0.001746770034764499,-0.015455072770216025,-0.012754110284532822
architecture,balanced,HHB_minus_HHH,system_training_samples_seen,-500000.0,0.0,-500000.0,-500000.0
architecture,balanced,HHB_minus_HHH,system_training_wall_time_sec,-116.08816157999426,70.77840670318463,-169.37850838001978,-58.6155044799958
architecture,balanced,HHB_minus_HHH,standardized_decoder_samples_seen,0.0,0.0,0.0,0.0
architecture,balanced,HHB_minus_HHH,standardized_decoder_wall_time_sec,15.193682840008478,41.783854750198955,-9.034705679980107,52.54848270000984
architecture,balanced,HHB_minus_HHH,total_training_samples_seen,-500000.0,0.0,-500000.0,-500000.0
architecture,balanced,HHB_minus_HHH,total_training_wall_time_sec,-100.89447873998579,108.95142087755043,-177.16669845997822,-10.634832339999775
architecture,balanced,HBB_minus_HHB,accuracy,-0.0034799999999999944,0.0028682747427678373,-0.005399999999999983,-0.0010399999999999964
