sweep,case,method,accuracy_mean,accuracy_sd,accuracy_ci_low,accuracy_ci_high,macro_f1_mean,macro_f1_sd,macro_f1_ci_low,macro_f1_ci_high,classification_ce_mean,classification_ce_sd,classification_ce_ci_low,classification_ce_ci_high,system_reconstruction_mse_mean,system_reconstruction_mse_sd,system_reconstruction_mse_ci_low,system_reconstruction_mse_ci_high,standardized_reconstruction_mse_mean,standardized_reconstruction_mse_sd,standardized_reconstruction_mse_ci_low,standardized_reconstruction_mse_ci_high,system_training_samples_seen_mean,system_training_samples_seen_sd,system_training_samples_seen_ci_low,system_training_samples_seen_ci_high,system_training_wall_time_sec_mean,system_training_wall_time_sec_sd,system_training_wall_time_sec_ci_low,system_training_wall_time_sec_ci_high,standardized_decoder_samples_seen_mean,standardized_decoder_samples_seen_sd,standardized_decoder_samples_seen_ci_low,standardized_decoder_samples_seen_ci_high,standardized_decoder_wall_time_sec_mean,standardized_decoder_wall_time_sec_sd,standardized_decoder_wall_time_sec_ci_low,standardized_decoder_wall_time_sec_ci_high,total_training_samples_seen_mean,total_training_samples_seen_sd,total_training_samples_seen_ci_low,total_training_samples_seen_ci_high,total_training_wall_time_sec_mean,total_training_wall_time_sec_sd,total_training_wall_time_sec_ci_low,total_training_wall_time_sec_ci_high
architecture,late_heavy,HHB,0.79502,0.2555121269137729,0.56626,0.91178,0.7772229548234268,0.2922120044174001,0.5156333636666184,0.9103352850344331,0.592417186498642,0.6420887046074826,0.29537885189056395,1.1690933644771575,0.019829834302590818,0.022270313263957293,0.007465994576823955,0.0401224305919725,0.01968901920338066,0.02215699264699672,0.007365999609888816,0.039907621945167074,1500000.0,0.0,1500000.0,1500000.0,353.76482001997067,44.89161373127097,316.5084085999755,386.7054299999494,500000.0,0.0,500000.0,500000.0,168.43691670000553,44.669777186699804,134.89981024004518,203.09342763996682,2000000.0,0.0,2000000.0,2000000.0,522.2017367199762,69.36544599327287,461.70782713999506,572.195136739919
architecture,late_heavy,HHH,0.8375600000000001,0.05642076745312846,0.79532,0.8798,0.8344951275788348,0.057574863940625345,0.7912538618000801,0.8777363933575897,0.5300228357315063,0.17350894068729525,0.3955715775489807,0.664474093914032,0.02430047945100434,0.004638384851328561,0.021079922548410842,0.027953348250486416,0.0244281455927479,0.004558831889997894,0.021257946645386362,0.028071326706555422,2000000.0,0.0,2000000.0,2000000.0,453.7938988000154,93.16312428179428,379.9290019000415,535.6684326400049,500000.0,0.0,500000.0,500000.0,151.08746913999784,14.508540185449032,140.0856481600087,162.08929011998697,2500000.0,0.0,2500000.0,2500000.0,604.8813679400133,91.83779340525729,525.8143073400017,680.1634300200269
dimension,L128,BBB,0.92458,0.004319374954782215,0.9211995000000001,0.9280800000000001,0.9235338700989086,0.004447639308914279,0.9200591410621309,0.9271533066201222,0.25476747155189516,0.013131814569313466,0.24409362077713012,0.2649111032485962,0.0021745337577741973,7.68111199322731e-05,0.0021142644892420087,0.0022348030263063855,0.0020935477857687034,0.00011075631768424708,0.0019982754813894932,0.0021733634127402792,500000.0,0.0,500000.0,500000.0,270.6050631199993,35.248065457200674,242.748370360001,297.2467640799965,500000.0,0.0,500000.0,500000.0,215.9034590400028,25.112078579176657,196.3282665000035,235.25541576000396,1000000.0,0.0,1000000.0,1000000.0,486.50852216000203,59.658875704866944,439.26062178000575,531.3909892400028
dimension,L128,HBB,0.92628,0.004041905491225656,0.9228400000000001,0.9290799999999999,0.9252821272890236,0.004111971777692636,0.9217654734857886,0.9281075141225832,0.2508766621351242,0.011293173657453078,0.24344452917575837,0.26059610247612,0.0022705839884037877,7.885009334874001e-05,0.0022151902920372634,0.002332243008662243,0.002187548858876131,9.097298110473894e-05,0.002110878309960268,0.0022527358958672502,1000000.0,0.0,1000000.0,1000000.0,449.525742639997,121.19577191590412,368.6546099999978,561.1165484399971,500000.0,0.0,500000.0,500000.0,246.62007809999923,60.43576989167152,206.17768206000036,300.7843796399975,1500000.0,0.0,1500000.0,1500000.0,696.1458207399962,181.57595111104553,574.8322920599982,862.1141173399898
dimension,L128,HHB,0.9342,0.002334523505985755,0.9321999999999999,0.9359,0.9332793970639731,0.002463900784673963,0.9311628015812955,0.9350768777845969,0.22453992664813996,0.012483406175275918,0.21383140683174134,0.2340099960565567,0.0036733346678286182,0.0001609372249440343,0.003541124671916572,0.0037908435069298257,0.003438406947680882,0.00012818290119078333,0.0033413123976454443,0.0035389376270527745,1500000.0,0.0,1500000.0,1500000.0,526.7114941200009,122.42641194556471,430.9039893799985,622.5189988600032,500000.0,0.0,500000.0,500000.0,237.82667258,32.978193691994136,209.50921710000256,259.1938268600032,2000000.0,0.0,2000000.0,2000000.0,764.5381667000008,130.39718285127518,661.4509775599988,867.6253558400028
dimension,L128,HHH,0.929,0.004028026812224596,0.92576,0.932,0.9280929408507242,0.004088509937884177,0.9247697647934917,0.9311202910941849,0.24390153586864471,0.019667941502465924,0.22879772782325744,0.25919119715690614,0.014473579706464493,0.0012008833939682706,0.01353644825098466,0.015454622160463916,0.014111891362715743,0.001073213353561332,0.013315980097712305,0.01490780262771918,2000000.0,0.0,2000000.0,2000000.0,617.577964480003,91.0889031813486,544.3013548000047,685.929905100001,500000.0,0.0,500000.0,500000.0,226.41377619999986,50.31501001782182,189.5754880399967,267.00295472000437,2500000.0,0.0,2500000.0,2500000.0,843.9917406800029,138.48670853010924,739.7072604000016,947.3806701400056
dimension,L16,BBB,0.8804400000000001,0.08784877916055521,0.7999599999999999,0.9302400000000001,0.8784582626665538,0.08972646339304338,0.7962176264234051,0.9294678948718793,0.39279532730579375,0.2572910502617307,0.2450313836336136,0.6299954652786255,0.018334824630386975,0.012410370985664235,0.010274651595329752,0.029560793747026092,0.018269237486586275,0.012168116805793622,0.010330799739604093,0.029262162589248346,500000.0,0.0,500000.0,500000.0,206.69528672000015,44.199173781693794,175.19974888000144,243.69821355999883,500000.0,0.0,500000.0,500000.0,167.44293054000082,20.438605528018947,154.29549286000184,184.6066264599991,1000000.0,0.0,1000000.0,1000000.0,374.13821726000094,56.69184300859835,329.7070980200027,418.56933649999917
dimension,L16,HBB,0.8667399999999998,0.12962959924338266,0.7505,0.92766,0.861538711374858,0.13922897326312517,0.7366993168970759,0.9268317870352163,0.4181115448474884,0.3614924426889049,0.24746779203414918,0.7431313127279282,0.018972149653726695,0.014683154004841903,0.0108736825203409,0.03236794501907971,0.018863347823473868,0.01457639943563069,0.010761501463092103,0.032144448438955815,1000000.0,0.0,1000000.0,1000000.0,343.0287666599994,143.30887863064058,264.5937732999984,469.67533755999904,500000.0,0.0,500000.0,500000.0,211.05389860000068,101.30235754603703,157.58780340000158,300.86486804000015,1500000.0,0.0,1500000.0,1500000.0,554.0826652600001,243.88362517422243,425.75159292000023,771.5432060799998
dimension,L16,HHB,0.7337,0.3474878918753861,0.41886,0.90284,0.7137083185662372,0.3883305104632535,0.3621389670235586,0.9016026285764955,0.7524276435375213,0.8692033880655587,0.3226124048233032,1.5418807208538055,0.029742829500509764,0.031491281707664395,0.013291859234790416,0.05856135279811159,0.03173520018830592,0.036400909455185954,0.01299157885220586,0.06498093813409611,1500000.0,0.0,1500000.0,1500000.0,408.9273675000004,88.35156812397626,349.6037031200023,478.883500319998,500000.0,0.0,500000.0,500000.0,199.2707312999999,76.34451432050489,148.0749050399987,264.02034978000086,2000000.0,0.0,2000000.0,2000000.0,608.1980988000003,160.2509328508948,504.0031963799993,744.4383203799996
dimension,L16,HHH,0.6800999999999999,0.05594586669272362,0.6383,0.7221599999999999,0.6739137446510176,0.056459870376005805,0.6324711117291774,0.7164308876824439,0.9826252698898316,0.1573145320262876,0.859473991394043,1.099198055267334,0.0375239962145747,0.0041374784349631905,0.033983132043955276,0.04050296913458377,0.03741246006790473,0.003771933730334331,0.03420126926188566,0.04004489776377775,2000000.0,0.0,2000000.0,2000000.0,418.93351548000135,72.36003757059996,352.95573916000285,462.9597415600016,500000.0,0.0,500000.0,500000.0,182.16747689999974,29.610173368872548,159.85222203999874,205.2075969400001,2500000.0,0.0,2500000.0,2500000.0,601.1009923800011,66.45064567086057,543.3620974200043,648.6630531200004
dimension,L32,BBB,0.92424,0.004563222545526369,0.9207000000000001,0.92778,0.9232103317709275,0.004801641830987895,0.9194608599419553,0.9269598035998996,0.2590427309274673,0.013545031787283324,0.24861910343170165,0.269466358423233,0.008566856368999093,0.004028801484930491,0.006045678446828103,0.01209708339399221,0.008517628646870048,0.004154066555080195,0.005930340376094896,0.012151315693076776,500000.0,0.0,500000.0,500000.0,194.38975467999845,18.803509498084363,179.2787754200006,208.69143791999667,500000.0,0.0,500000.0,500000.0,167.72158827999664,20.833451735209028,153.2773699799931,185.3253093999985,1000000.0,0.0,1000000.0,1000000.0,362.1113429599951,34.22525870547191,335.8978653399972,388.32482057999295
dimension,L32,HBB,0.91816,0.00717307465456759,0.91202,0.9227599999999999,0.916931770878709,0.007482415604311311,0.9105378095328943,0.921771193477058,0.27923738956451416,0.022806699656306703,0.2646476149559021,0.29928395748138426,0.009653632222389689,0.005466377172393016,0.006471695722268553,0.014611011130663812,0.009534573761589674,0.005623190387939262,0.006301403014319283,0.014634661743884184,1000000.0,0.0,1000000.0,1000000.0,287.4034431599983,26.20131751568716,264.6716321999935,306.15069978000537,500000.0,0.0,500000.0,500000.0,171.9022014000002,6.924799919423409,166.87889434000243,177.75079439999973,1500000.0,0.0,1500000.0,1500000.0,459.3056445599985,22.38996091524356,441.95641243999273,476.65487668000424
dimension,L32,HHB,0.9084,0.007483648842643547,0.9023,0.9139799999999999,0.9071676876243189,0.007514263218466657,0.9010127301886325,0.9127766192107633,0.30749514102935793,0.0257183362489286,0.2886997163295746,0.3294546365737915,0.010150928302492413,0.0026609034240797857,0.008061134472282567,0.01222118476458958,0.009775668414952803,0.002713628763648204,0.007754459528825722,0.01194549708891888,1500000.0,0.0,1500000.0,1500000.0,420.1892062800034,126.28220989643344,342.35957416000747,534.0177280000019,500000.0,0.0,500000.0,500000.0,160.89152593999606,11.339687512843083,153.11538393999507,170.71345023999748,2000000.0,0.0,2000000.0,2000000.0,581.0807322199995,128.52695616978693,496.5462143400015,694.3088063800024
dimension,L32,HHH,0.81016,0.02850619230974208,0.79202,0.8339599999999999,0.8069212962760581,0.029674617436466495,0.7878701637126262,0.8316142604832825,0.6124157905578613,0.08288783310950577,0.5398326516151428,0.6682890772819519,0.02778722557690679,0.0030136288302943393,0.02516233979750653,0.02995373649908572,0.02754771404305283,0.002723578488485153,0.025173081662703534,0.02943065625716229,2000000.0,0.0,2000000.0,2000000.0,421.48401257999797,50.068237163164866,383.8979472199964,459.2142519800007,500000.0,0.0,500000.0,500000.0,158.21637462000072,19.57268495986721,142.18236960000067,171.5820761400013,2500000.0,0.0,2500000.0,2500000.0,579.7003871999987,67.85758601173723,525.376162999995,630.8882472199955
dimension,L64,BBB,0.91584,0.0023786550821840273,0.9137600000000001,0.9176,0.9144916053430412,0.0023477448489302864,0.9124243285437877,0.9162802604636997,0.28265197277069093,0.003707177774501879,0.27983253002166747,0.28547141551971433,0.0032011022525417565,0.00048485001355310026,0.0029050188997327064,0.0036221256472139945,0.003234369178791435,0.0005233365257333246,0.0028800059327300713,0.003698428045535574,500000.0,0.0,500000.0,500000.0,312.9768771000319,81.3719909021602,250.2477542600136,374.2081502000568,500000.0,0.0,500000.0,500000.0,248.2134587599907,61.43207457646099,200.8138425400037,295.6130749799777,1000000.0,0.0,1000000.0,1000000.0,561.1903358600226,141.54125078772668,447.584457259997,666.1672405000311
dimension,L64,HBB,0.91638,0.0018593009439033796,0.9149800000000001,0.9177799999999999,0.9151505160361297,0.0018305255631996028,0.9137542092121638,0.9164869524195935,0.2832034945487976,0.007430886663399658,0.2776042759418488,0.2886632025241852,0.0032699993506742986,0.000517092367223824,0.0029303990406892738,0.0037217697432576392,0.003312132648351241,0.0006059456811933659,0.0029093423312050956,0.0038482087160616506,1000000.0,0.0,1000000.0,1000000.0,435.8698365200338,96.5793178571586,349.7394341800065,495.5024967800593,500000.0,0.0,500000.0,500000.0,246.48647319999182,39.94059301650886,215.03748766000172,276.1966531799873,1500000.0,0.0,1500000.0,1500000.0,682.3563097200256,134.4181050713385,564.7769218400083,771.6991499600466
dimension,L64,HHB,0.9198599999999999,0.0028254203227130814,0.91766,0.9222400000000001,0.9186179440340909,0.0029015694172393907,0.916382821172865,0.9211106805312482,0.2773395895957947,0.00559195194125449,0.2730044424533844,0.281554514169693,0.0046470480285372056,0.0002787657807319296,0.004426253727990754,0.004867842329083657,0.004568547135372551,0.00034575618626498126,0.004305969978060041,0.00484556265422276,1500000.0,0.0,1500000.0,1500000.0,579.255081860027,133.6223392100284,464.6897318200201,666.4183165400522,500000.0,0.0,500000.0,500000.0,257.58887043999187,47.00296167597084,216.4603555799944,285.6646349999857,2000000.0,0.0,2000000.0,2000000.0,836.8439523000188,176.31192082886056,682.7801051600042,943.5084416200513
dimension,L64,HHH,0.8940999999999999,0.008167006795638157,0.8883000000000001,0.9013199999999999,0.8927295922727015,0.008253533092040856,0.8868810729959229,0.8999729301696521,0.3552584707736969,0.024984076658758708,0.3324612081050873,0.370277601480484,0.018500022951242874,0.0015114239059349313,0.017325575389083553,0.019674470513402202,0.018688835105117485,0.001462081046428026,0.017493020102053274,0.019767667216865382,2000000.0,0.0,2000000.0,2000000.0,695.3432434400213,182.27000193517483,543.7758412400096,826.7833316600415,500000.0,0.0,500000.0,500000.0,242.39518759998336,57.351305305355055,194.32856593999077,284.97251069997435,2500000.0,0.0,2500000.0,2500000.0,937.7384310400046,239.03142289324202,738.1044071800004,1111.755842360016
