sweep,case,method,noise_type,accuracy_mean,accuracy_sd,accuracy_ci_low,accuracy_ci_high,accuracy_absolute_degradation_mean,accuracy_absolute_degradation_sd,accuracy_absolute_degradation_ci_low,accuracy_absolute_degradation_ci_high,system_reconstruction_mse_increase_mean,system_reconstruction_mse_increase_sd,system_reconstruction_mse_increase_ci_low,system_reconstruction_mse_increase_ci_high,standardized_reconstruction_mse_increase_mean,standardized_reconstruction_mse_increase_sd,standardized_reconstruction_mse_increase_ci_low,standardized_reconstruction_mse_increase_ci_high,representation_cosine_mean,representation_cosine_sd,representation_cosine_ci_low,representation_cosine_ci_high,prediction_js_divergence_mean,prediction_js_divergence_sd,prediction_js_divergence_ci_low,prediction_js_divergence_ci_high
architecture,early_heavy,HHB,pixel_masking,0.8308,0.008472602905837132,0.8242800000000001,0.8371599999999999,0.09,0.007998124780221895,0.08380000000000001,0.09627999999999996,0.028068884352956496,0.0011585855134628891,0.02716128412577571,0.02896198496409825,0.027308234624181478,0.001974022201764978,0.025617853242037254,0.028672805465192207,0.9749690532684326,0.0016277753245943585,0.9736668348312378,0.9761728882789612,0.062209205329418184,0.002774091497498331,0.060135618597269055,0.06437799334526062
architecture,early_heavy,HHB,salt_pepper,0.3757400000000001,0.08491226648723964,0.31122,0.44026000000000004,0.54506,0.08461142357861616,0.48072,0.6093999999999999,0.08030414992361654,0.008742096833433414,0.07242916109016964,0.08546325264093826,0.08176384091192362,0.009836430321315537,0.07283676988163773,0.0881368169138383,0.8825339078903198,0.01491198992852253,0.8709368586540223,0.8941309571266174,0.36031081080436705,0.06808671802884989,0.30782942175865174,0.4127921998500824
architecture,early_heavy,HHH,gaussian,0.34594,0.11674008737361816,0.26568,0.45005999999999996,0.5513199999999999,0.12278838300099892,0.44159999999999994,0.6346199999999999,0.05861860499012227,0.013224185220247224,0.04871329938382519,0.06938604763653813,0.0560876508019895,0.01617532296646829,0.04381112883742975,0.06917836050928856,0.9996090531349182,0.00013092695814540323,0.9995079517364502,0.9997117400169373,0.375721749663353,0.09629110723782615,0.2914544492959976,0.44543126225471497
architecture,early_heavy,HHH,pixel_masking,0.8095000000000001,0.010207105368320616,0.8032400000000001,0.81878,0.08775999999999999,0.011073526990078613,0.07918000000000003,0.09617999999999997,0.015248445485951948,0.004105824831070979,0.012270770696523239,0.01875371236528669,0.01465230079183773,0.0025817239958566486,0.013107691299282775,0.01690262708469313,0.9999428272247315,1.1339648558630072e-05,0.9999332189559936,0.9999512076377869,0.06627721711993217,0.004200719419721351,0.0631469652056694,0.06970228850841523
architecture,early_heavy,HHH,salt_pepper,0.25934,0.07431563092647468,0.20804,0.32558000000000004,0.6379199999999999,0.08042699795466697,0.56608,0.6922599999999999,0.08557596056879783,0.015818044512366507,0.07340953571630984,0.09774238542128583,0.08376093974989288,0.019242191259346265,0.06877197127205985,0.09874990822772592,0.9994084358215332,0.00019662952315756981,0.9992567300796509,0.9995622754096984,0.44858479499816895,0.07236247968198233,0.384243106842041,0.49816579818725587
architecture,late_heavy,BBB,gaussian,0.49223999999999996,0.22194042669148853,0.30138000000000004,0.64676,0.36834,0.1352059281244724,0.26522,0.47219999999999995,0.03295920625959124,0.010694543336769271,0.026147195817207803,0.042323127043003936,0.032520781071526665,0.010869742649265999,0.025520934383528576,0.041917340458558536,0.9158811330795288,0.020619074781190343,0.897636079788208,0.9288055777549744,0.23507930040359498,0.08105570331612885,0.174600687623024,0.2970990061759949
architecture,late_heavy,BBB,pixel_masking,0.77066,0.16809914633929585,0.61952,0.85092,0.08992000000000001,0.047549626707262344,0.06518000000000004,0.13233999999999999,0.020811774974745147,0.008785768165029231,0.01332931304308833,0.026808445563413656,0.021859748137921704,0.00953591774648515,0.01359864509621445,0.02848842606203896,0.9801216840744018,0.009408745903725358,0.9727318525314331,0.9875115156173706,0.05806013122200966,0.009822353665983207,0.05207581669092178,0.06671037599444389
architecture,late_heavy,BBB,salt_pepper,0.33166,0.13828008894992802,0.22131999999999996,0.43342,0.52892,0.08658675995785962,0.47198,0.60678,0.05054914431202169,0.015655854063660914,0.03946899542769607,0.06402620526352708,0.050725416595108666,0.016048947743163122,0.03944020489254777,0.06498790081374499,0.8727784395217896,0.028234095474363227,0.8480523705482483,0.8910208940505981,0.3459613025188446,0.06787673140847052,0.2973116934299469,0.4047510623931885
architecture,late_heavy,HBB,gaussian,0.453,0.07343357542704834,0.3923,0.51502,0.44396,0.08250816929250099,0.38220000000000004,0.51156,0.042986164160747915,0.011628812115623931,0.03360333302926044,0.05172508552512345,0.04330807899173424,0.01189708450695975,0.03373934557068105,0.05232557642566914,0.9147892951965332,0.019063449272542395,0.9010379314422607,0.9303256511688233,0.2775678843259811,0.0553439534970057,0.23588723838329315,0.3220753312110901
architecture,late_heavy,HBB,pixel_masking,0.7830600000000001,0.07423262759730384,0.7221599999999999,0.83794,0.11389999999999997,0.04655147688312364,0.07716000000000003,0.15063999999999994,0.024409734138955873,0.0049803815844602145,0.020667516474431873,0.028151951803479874,0.024843141211782185,0.005724096561895376,0.020474015873889535,0.029212266549674838,0.9727048277854919,0.022944305826162196,0.9541701078414917,0.9895657420158386,0.07431036233901978,0.024101272172044115,0.05524820014834404,0.09228461906313896
