case,seed,method,layer,representation_layer,rule,alignment,update_snr_linear,winner_entropy,winner_coverage_ratio,effective_rank,linear_probe_cv_accuracy
balanced,2,BBB,enc2,h2,bp_raw,1,12.570205303440282,0.9460843511496491,1,4.471893672328078,0.921
balanced,2,BBB,enc3,z,bp_raw,1,6.055304816082957,0.9199348921012727,0.9375,22.98700624363303,0.858
balanced,2,HHB,enc3,z,bp_raw,1,10.203338431911106,0.8793630324337918,0.828125,12.443805695085741,0.8785000000000001
balanced,2,HBB,enc2,h2,bp_raw,1,16.15858197845042,0.9550923841412493,1,4.097498983714062,0.9105000000000001
balanced,2,HBB,enc3,z,bp_raw,1,8.373685372596698,0.9149002938537752,0.984375,22.321971991952694,0.8654999999999999
balanced,3,HHH,enc1,h1,hebbian_raw,0.5748699537341684,495.24554136644895,0.6454728610371573,0.8125,1.4780355004260795,0.8955
balanced,3,HHH,enc1,h1,hebbian_effective,0.5747478141972073,489.988543070083,0.6454728610371573,0.8125,1.4780355004260795,0.8955
balanced,3,HHB,enc1,h1,hebbian_raw,0.5748699537341684,495.24554136644895,0.6454728610371573,0.8125,1.4780355004260795,0.8955
balanced,3,HHB,enc1,h1,hebbian_effective,0.5747478141972073,489.988543070083,0.6454728610371573,0.8125,1.4780355004260795,0.8955
balanced,3,HBB,enc1,h1,hebbian_raw,0.5748699537341684,495.24554136644895,0.6454728610371573,0.8125,1.4780355004260795,0.8955
balanced,3,HBB,enc1,h1,hebbian_effective,0.5747478141972073,489.988543070083,0.6454728610371573,0.8125,1.4780355004260795,0.8955
balanced,3,HHH,enc2,h2,hebbian_raw,-0.007798300266753411,0.020345461605127166,0.45472717091576365,0.46875,1.0554948990237965,0.8995
balanced,3,HHH,enc2,h2,hebbian_effective,-0.007390942777821377,0.02034378910313187,0.45472717091576365,0.46875,1.0554948990237965,0.8995
balanced,3,HHB,enc2,h2,hebbian_raw,-0.007798300266753411,0.020345461605127166,0.45472717091576365,0.46875,1.0554948990237965,0.8995
balanced,3,HHB,enc2,h2,hebbian_effective,-0.007390942777821377,0.02034378910313187,0.45472717091576365,0.46875,1.0554948990237965,0.8995
balanced,3,HHH,enc3,z,hebbian_raw,-0.00011395801102504837,0.8641301159722321,0.4678924870096007,0.109375,1.013859982719699,0.8344999999999999
balanced,3,HHH,enc3,z,hebbian_effective,0.00012798288449116242,0.8645023969348514,0.4678924870096007,0.109375,1.013859982719699,0.8344999999999999
balanced,3,BBB,enc1,h1,bp_raw,1,0.9383277964017339,0.8616185859675997,1,2.3197434990192467,0.9025000000000001
balanced,3,BBB,enc2,h2,bp_raw,1,1.658338954228411,0.9295773020207232,1,3.8703695453569984,0.9099999999999999
balanced,3,BBB,enc3,z,bp_raw,1,6.077120529509909,0.90421904349602,0.953125,21.513318046362755,0.857
balanced,3,HHB,enc3,z,bp_raw,1,8.1145753352338,0.8627925024841373,0.84375,11.51100340441283,0.8714999999999999
balanced,3,HBB,enc2,h2,bp_raw,1,6.959537935075497,0.9294953470087863,1,3.2783763813616758,0.9115
balanced,3,HBB,enc3,z,bp_raw,1,6.420506686211862,0.9194456461891355,0.96875,20.788990354627803,0.86
balanced,4,HHH,enc1,h1,hebbian_raw,0.337764807102049,428.02955429875,0.6848225194094419,1,1.3541053454197658,0.8855000000000001
balanced,4,HHH,enc1,h1,hebbian_effective,0.3377262846725882,423.03841416369715,0.6848225194094419,1,1.3541053454197658,0.8855000000000001
balanced,4,HHB,enc1,h1,hebbian_raw,0.337764807102049,428.02955429875,0.6848225194094419,1,1.3541053454197658,0.8855000000000001
balanced,4,HHB,enc1,h1,hebbian_effective,0.3377262846725882,423.03841416369715,0.6848225194094419,1,1.3541053454197658,0.8855000000000001
balanced,4,HBB,enc1,h1,hebbian_raw,0.337764807102049,428.02955429875,0.6848225194094419,1,1.3541053454197658,0.8855000000000001
balanced,4,HBB,enc1,h1,hebbian_effective,0.3377262846725882,423.03841416369715,0.6848225194094419,1,1.3541053454197658,0.8855000000000001
balanced,4,HHH,enc2,h2,hebbian_raw,0.10133703138379713,0.01336615200576283,0.41551709769167083,0.21875,1.0575765977345988,0.8949999999999999
balanced,4,HHH,enc2,h2,hebbian_effective,0.10042706458364348,0.013364823497966178,0.41551709769167083,0.21875,1.0575765977345988,0.8949999999999999
balanced,4,HHB,enc2,h2,hebbian_raw,0.10133703138379713,0.01336615200576283,0.41551709769167083,0.21875,1.0575765977345988,0.8949999999999999
balanced,4,HHB,enc2,h2,hebbian_effective,0.10042706458364348,0.013364823497966178,0.41551709769167083,0.21875,1.0575765977345988,0.8949999999999999
balanced,4,HHH,enc3,z,hebbian_raw,-0.0003861602054314639,0.9675411677292599,0.4678924870096007,0.109375,1.0185098946747102,0.8535
