sweep,case,seed,method,effective_rank_z_minus_h2,effective_rank_z_over_h2,linear_probe_z_minus_h2,separability_z_over_h2
dimension,L128,3,HHH,-0.03959299284554074,0.9624886933303426,-0.030000000000000138,1.0517803693002203
dimension,L128,3,HHB,14.805226976620895,15.026810541968434,-0.02199999999999991,1.017501491913718
dimension,L128,3,HBB,21.509094540776804,6.948294024907282,-0.05599999999999994,0.9502427018397233
dimension,L128,4,BBB,23.966207321601452,7.169906337635717,-0.05400000000000005,0.9549552883664468
dimension,L128,4,HHH,-0.03717942908041616,0.9648446938405625,-0.019999999999999907,1.0449985694641184
dimension,L128,4,HHB,14.817146668611855,15.010471393137097,-0.016999999999999793,1.0002243695749509
dimension,L128,4,HBB,22.0730949754646,7.046472921673289,-0.04349999999999998,0.961624653423879
architecture,early_heavy,0,BBB,11.17978310247004,3.667424606820537,-0.05600000000000005,0.854116481115084
architecture,early_heavy,0,HHH,-0.0013840543751468815,0.9986387284180039,-0.056499999999999884,0.9595775534254877
architecture,early_heavy,0,HHB,9.187433950556157,10.036200436150212,-0.008999999999999897,0.9998443066578132
architecture,early_heavy,0,HBB,8.994005885837852,2.8372937857192815,-0.050999999999999934,0.8737083953737168
architecture,early_heavy,1,BBB,12.255762484627923,3.916210779176613,-0.04699999999999993,0.906216631144442
architecture,early_heavy,1,HHH,0.010907601723799232,1.0107505913794217,-0.035499999999999865,0.9557911668414948
architecture,early_heavy,1,HHB,10.204846164993334,11.057951691647235,-0.022499999999999964,1.008252575836047
architecture,early_heavy,1,HBB,11.74721735946309,4.101672539619287,-0.04849999999999999,0.9001444386565689
architecture,early_heavy,2,BBB,15.918404832364576,5.318238678301874,-0.05249999999999988,0.9079889047698123
architecture,early_heavy,2,HHH,0.008341519968315891,1.0082574537744393,-0.04149999999999987,0.9408662722531625
architecture,early_heavy,2,HHB,9.234513789142495,10.141447965467284,-0.010500000000000065,0.9956248096847696
architecture,early_heavy,2,HBB,15.231469147062061,5.1150959658601955,-0.05950000000000011,0.9176243149150716
architecture,early_heavy,3,BBB,11.490926903052502,3.2240203295610383,-0.0495000000000001,0.8833225719037805
architecture,early_heavy,3,HHH,0.004242914224249494,1.0041796113667285,-0.04700000000000004,0.9242277116679255
architecture,early_heavy,3,HHB,8.782501193216817,9.6514692203017,-0.005499999999999949,1.0188891089183767
architecture,early_heavy,3,HBB,11.4143044535863,3.824960548401351,-0.045499999999999985,0.8889136561102962
architecture,early_heavy,4,BBB,11.675553102023576,3.579740162978085,-0.044500000000000095,0.8928911602754187
architecture,early_heavy,4,HHH,0.005844372793879504,1.0057619103343787,-0.05499999999999983,0.9665172479493545
architecture,early_heavy,4,HHB,7.301492357158756,8.198470349659663,-0.01849999999999985,0.9711021496271774
architecture,early_heavy,4,HBB,9.823328374012597,4.948540717999159,-0.031000000000000028,0.8470934884909278
architecture,balanced,0,BBB,15.16418043541372,4.067288825234052,-0.058499999999999885,0.892610428325762
architecture,balanced,0,HHH,-0.035356590355514195,0.9663634916701793,-0.044500000000000206,0.9462909822065445
architecture,balanced,0,HHB,10.770887720067654,11.24688893563277,-0.02000000000000013,1.004626970776489
architecture,balanced,0,HBB,13.31296940695763,3.793294081593139,-0.06450000000000011,0.9036438477836187
architecture,balanced,1,BBB,17.019776097856752,5.247632452169154,-0.0625,0.9137095650035401
architecture,balanced,1,HHH,-0.00899402819222117,0.9912292478767808,-0.04349999999999987,0.9715303427248595
architecture,balanced,1,HHB,10.57776503456723,11.315172818346714,-0.02650000000000008,0.9838264894674605
architecture,balanced,1,HBB,15.424291273451963,4.250343264114471,-0.052999999999999936,0.9215175420466041
architecture,balanced,2,BBB,18.51511257130495,5.140329338748777,-0.06300000000000006,0.9183094763080447
architecture,balanced,2,HHH,-0.02234423736150304,0.9784332312235215,-0.07600000000000018,0.9236773147973687
architecture,balanced,2,HHB,11.40775631777371,12.010823004759157,-0.024500000000000077,0.9813414898530267
architecture,balanced,2,HBB,18.224473008238633,5.447706535297191,-0.04500000000000015,0.9279148926404854
architecture,balanced,3,BBB,17.64294850100576,5.55846613462808,-0.052999999999999936,0.9237703260486133
architecture,balanced,3,HHH,-0.041634916304097436,0.9605541283594978,-0.06500000000000006,0.9531162582800181
architecture,balanced,3,HHB,10.455508505389034,10.905787811062943,-0.028000000000000025,1.0010715659080527
architecture,balanced,3,HBB,17.51061397326613,6.341245768124123,-0.05149999999999999,0.9184339076202419
architecture,balanced,4,BBB,11.451456036147302,3.690149659750677,-0.055499999999999994,0.886589905094145
architecture,balanced,4,HHH,-0.039066703059888575,0.9630601668535668,-0.04149999999999987,0.9430260787696755
architecture,balanced,4,HHB,9.267980304080012,9.763412809939874,-0.012499999999999845,0.9764349156012546
architecture,balanced,4,HBB,11.920766441860732,4.004901542165962,-0.038000000000000145,0.8997313616215981
architecture,late_heavy,0,BBB,3.7342348777475296,1.6845804052053481,-0.02200000000000002,0.7698379233350212
architecture,late_heavy,0,HHH,-0.1241025963031237,0.8913125425013181,-0.0595,0.9260381691409708
architecture,late_heavy,0,HHB,5.942562403329925,6.204419713086448,-0.026999999999999913,0.7809753581852946
architecture,late_heavy,0,HBB,3.4910372913825176,1.757170079869133,-0.02750000000000008,0.7626324432512712
architecture,late_heavy,1,BBB,22.136363548492056,6.9779788184352975,-0.06850000000000012,0.9205507845533953
architecture,late_heavy,1,HHH,-0.9391252629413429,0.5250291917900917,-0.15249999999999986,0.77819444601457
architecture,late_heavy,1,HHB,14.467653857770008,8.317142363100738,-0.0249999999999998,1.033324016511996
architecture,late_heavy,1,HBB,15.980611336782662,3.7283479470121548,-0.04349999999999987,0.9378115434125708
architecture,late_heavy,2,BBB,12.973816485217519,4.061236075855438,-0.032500000000000084,0.9026552981173908
architecture,late_heavy,2,HHH,-0.7687375990808707,0.573283770214768,-0.1279999999999999,0.7993804019557877
architecture,late_heavy,2,HHB,12.395839885631112,7.88076928634976,-0.004000000000000115,0.9721108414266825
architecture,late_heavy,2,HBB,11.848573679429173,4.022909540360626,-0.04849999999999988,0.8962092902253186
architecture,late_heavy,3,BBB,19.73194630248978,5.834720780883682,-0.04749999999999999,0.9220234496792088
architecture,late_heavy,3,HHH,-2.993925491227903,0.26423144684887895,-0.18600000000000005,0.700710544884485
architecture,late_heavy,3,HHB,12.989265521557014,4.192161303711029,0.000500000000000056,1.0644607360648464
architecture,late_heavy,3,HBB,16.492389196210073,3.174481883700929,-0.04400000000000015,0.9355570182125363
architecture,late_heavy,4,BBB,-6.54783881845675,0.19755105404060574,-0.36449999999999994,0.258282549785749
architecture,late_heavy,4,HHH,-0.2020472744591637,0.8342184529432086,-0.06550000000000011,0.8790019198000362
architecture,late_heavy,4,HHB,-0.21875611638458703,0.8205087027308448,-0.6000000000000001,0.1605518288864928
architecture,late_heavy,4,HBB,-2.4243749958439444,0.6454693488499379,-0.15150000000000008,0.4062175316246534
