sweep,case,seed,method_id,method,noise_type,severity,accuracy,macro_f1,classification_ce,system_reconstruction_mse,standardized_reconstruction_mse,representation_cosine,prediction_js_divergence,num_samples,num_pixels,sample_ids_sha256,accuracy_absolute_degradation,accuracy_relative_degradation,macro_f1_absolute_degradation,system_reconstruction_mse_increase,standardized_reconstruction_mse_increase
architecture,early_heavy,3,full_hebbian,HHH,pixel_masking,0.4,0.8053,0.8035157067256995,0.6169613003730774,0.0421856832387496,0.04406548715708207,0.9999504089355469,0.06903528422117233,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.08889999999999998,0.09941847461418026,0.08885613024299788,0.017580121678722145,0.013505241826115823
architecture,early_heavy,3,hybrid_hhb,HHB,gaussian,0.4,0.5734,0.5609690449619362,1.4722422361373901,0.06517863853610292,0.06213038041251046,0.9241116046905518,0.2100725769996643,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.34709999999999996,0.37707767517653445,0.35850874695996005,0.060198054931601706,0.0570581050327846
architecture,early_heavy,3,hybrid_hhb,HHB,salt_pepper,0.4,0.421,0.39165057514109747,3.025453805923462,0.08993934861786511,0.08808237541354433,0.8958807587623596,0.3189237117767334,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.4995,0.5426398696360674,0.5278272167807988,0.08495876501336388,0.08301010003381847
architecture,early_heavy,3,hybrid_hhb,HHB,pixel_masking,0.4,0.8294,0.8287008273061289,0.5138596892356873,0.03330644621557119,0.03376304957720698,0.9763360619544983,0.06311273574829102,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.09109999999999996,0.09896795219989132,0.09077696461576734,0.028325862611069973,0.028690774197481117
architecture,early_heavy,3,hybrid_hbb,HBB,gaussian,0.4,0.489,0.4985471232072678,1.5410605669021606,0.04057818674360003,0.04201488134423081,0.9155539870262146,0.2592485845088959,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.4314,0.4687092568448501,0.4206787092489268,0.037402980621007026,0.03819036477633885
architecture,early_heavy,3,hybrid_hbb,HBB,salt_pepper,0.4,0.2304,0.16854203017265149,5.0095744132995605,0.07284530659889689,0.07645998191054987,0.8597092032432556,0.4632810056209564,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.69,0.7496740547588004,0.7506838022835431,0.06967010047630388,0.07263546534265791
architecture,early_heavy,3,hybrid_hbb,HBB,pixel_masking,0.4,0.8633,0.8629008463269299,0.43647685647010803,0.029012692132288097,0.030976291415156152,0.9710067510604858,0.042474936693906784,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.05710000000000004,0.062038244241634115,0.05632498612926473,0.025837486009695092,0.027151774847264193
architecture,early_heavy,4,full_bp,BBB,gaussian,0.4,0.605,0.5770566900669536,1.2013498544692993,0.04228315658569336,0.04100036491082639,0.9140600562095642,0.19763179123401642,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.3127,0.34074316225345974,0.3393031186908797,0.039225512292920324,0.03550931879841551
architecture,early_heavy,4,full_bp,BBB,salt_pepper,0.4,0.2719,0.21409139544207328,4.025573253631592,0.07964405964442661,0.07581329186887158,0.8616709113121033,0.42436888813972473,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.6457999999999999,0.7037158112672987,0.70226841331576,0.07658641535165359,0.0703222457564607
architecture,early_heavy,4,full_bp,BBB,pixel_masking,0.4,0.8508,0.8505621864807761,0.4684203267097473,0.031191501173681142,0.03333750618136659,0.9692651629447937,0.04612421989440918,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.06689999999999996,0.07289964040536119,0.06579762227705721,0.02813385688090811,0.027846460068955716
