sweep,case,method,layer,rule,alignment_mean,alignment_sd,alignment_ci_low,alignment_ci_high,norm_ratio_mean,norm_ratio_sd,norm_ratio_ci_low,norm_ratio_ci_high,alpha_star_mean,alpha_star_sd,alpha_star_ci_low,alpha_star_ci_high,scale_matched_bias_mean,scale_matched_bias_sd,scale_matched_bias_ci_low,scale_matched_bias_ci_high,update_snr_linear_mean,update_snr_linear_sd,update_snr_linear_ci_low,update_snr_linear_ci_high,matched_bp_snr_linear_mean,matched_bp_snr_linear_sd,matched_bp_snr_linear_ci_low,matched_bp_snr_linear_ci_high
architecture,early_heavy,HHB,enc1,hebbian_effective,0.279680516205764,0.0690606675744556,0.22558008262024423,0.3337809497912838,0.07917983921922016,0.023626603895144836,0.06267154716510442,0.09823150942685574,3.7878465473791487,1.230401563142923,2.6808936800144663,4.511091362050172,0.9579412804939078,0.019738817041682295,0.9423266226263289,0.9735559383614867,461.6771976753463,32.98912391602825,435.5160100405809,486.0790860950307,1.503484280942698,0.732320876420574,0.8914201141332165,2.0424064469506122
architecture,early_heavy,HHB,enc1,hebbian_raw,0.27967926040668994,0.06904182173178808,0.22560608749737154,0.33375243331600835,158.35916452942985,47.25276470876564,125.34290119889124,196.4618299091182,0.0018940460000459625,0.0006154344664838763,0.0013401129668783145,0.00225607386019952,0.9579429608928273,0.01972865769253252,0.9423381961109085,0.9735477256747462,463.85740336304053,33.051742824458465,437.674186299649,488.3019380547271,1.503484280942698,0.732320876420574,0.8914201141332165,2.0424064469506122
architecture,early_heavy,HHB,enc2,hebbian_effective,0.02058866447146138,0.02948771108856848,-0.001886972292251403,0.043064301235174164,0.005269947399586511,0.0021378152890764285,0.0036736969623201122,0.006964207792940458,2.4622064377638773,5.141017525738792,-1.3794485595419552,6.26013100405049,0.9994399424990175,0.0005926387230962121,0.998956672816455,0.9998542499072661,0.0223795987135802,0.008486770974666442,0.015782046194828602,0.02872408228013957,1.4542124178889355,0.8485271970530028,0.7871010555196537,2.0917608318231915
architecture,early_heavy,HHB,enc2,hebbian_raw,0.02057804380946844,0.02964137688582433,-0.0020065880471577396,0.04316267566609462,10.539676297343812,4.275473444243786,7.347064787397251,13.928066438528678,0.0012193925820503126,0.002598282190725498,-0.0007642686995164795,0.0031369402947690602,0.9994365255328445,0.000598252741830017,0.9989458235085023,0.9998531184827886,0.02237892511609219,0.008486594280498643,0.01578046910895633,0.028723072865084735,1.4542124178889355,0.8485271970530028,0.7871010555196537,2.0917608318231915
architecture,early_heavy,HHB,enc3,bp_raw,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.573256786126379,1.303369847415386,9.439885399679662,11.510063217129105,10.573256786126379,1.303369847415386,9.439885399679662,11.510063217129105
architecture,early_heavy,HHH,enc1,hebbian_effective,0.279680516205764,0.0690606675744556,0.22558008262024423,0.3337809497912838,0.07917983921922016,0.023626603895144836,0.06267154716510442,0.09823150942685574,3.7878465473791487,1.230401563142923,2.6808936800144663,4.511091362050172,0.9579412804939078,0.019738817041682295,0.9423266226263289,0.9735559383614867,461.6771976753463,32.98912391602825,435.5160100405809,486.0790860950307,1.503484280942698,0.732320876420574,0.8914201141332165,2.0424064469506122
architecture,early_heavy,HHH,enc1,hebbian_raw,0.27967926040668994,0.06904182173178808,0.22560608749737154,0.33375243331600835,158.35916452942985,47.25276470876564,125.34290119889124,196.4618299091182,0.0018940460000459625,0.0006154344664838763,0.0013401129668783145,0.00225607386019952,0.9579429608928273,0.01972865769253252,0.9423381961109085,0.9735477256747462,463.85740336304053,33.051742824458465,437.674186299649,488.3019380547271,1.503484280942698,0.732320876420574,0.8914201141332165,2.0424064469506122
architecture,early_heavy,HHH,enc2,hebbian_effective,0.02058866447146138,0.02948771108856848,-0.001886972292251403,0.043064301235174164,0.005269947399586511,0.0021378152890764285,0.0036736969623201122,0.006964207792940458,2.4622064377638773,5.141017525738792,-1.3794485595419552,6.26013100405049,0.9994399424990175,0.0005926387230962121,0.998956672816455,0.9998542499072661,0.0223795987135802,0.008486770974666442,0.015782046194828602,0.02872408228013957,1.4542124178889355,0.8485271970530028,0.7871010555196537,2.0917608318231915
architecture,early_heavy,HHH,enc2,hebbian_raw,0.02057804380946844,0.02964137688582433,-0.0020065880471577396,0.04316267566609462,10.539676297343812,4.275473444243786,7.347064787397251,13.928066438528678,0.0012193925820503126,0.002598282190725498,-0.0007642686995164795,0.0031369402947690602,0.9994365255328445,0.000598252741830017,0.9989458235085023,0.9998531184827886,0.02237892511609219,0.008486594280498643,0.01578046910895633,0.028723072865084735,1.4542124178889355,0.8485271970530028,0.7871010555196537,2.0917608318231915
architecture,early_heavy,HHH,enc3,hebbian_effective,6.395320882563088e-05,0.0005642618607422043,-0.00035447284239653067,0.0005196988723515804,4.856594142487327,2.1279131042502715,3.326341279770297,6.581804682126605,3.4487011261734164e-05,0.00013963545799551916,-6.916609383342493e-05,0.00014679331738782407,0.999999870591739,1.0739879162390719e-07,0.9999997800093432,0.9999999468764967,13.217316724629338,9.658612368112069,7.033482441512068,21.78985801699589,3.7816485516449037,1.1342687161861391,2.922867628203496,4.64042947508631
architecture,early_heavy,HHH,enc3,hebbian_raw,2.7574511764070836e-05,0.0022622368383239883,-0.0015854502774885829,0.001968893483227221,10197.503234679985,4848.940149989617,6784.114409101843,14196.135991480953,1.6386583874254048e-08,2.492875512205367e-07,-1.654091979721993e-07,2.2860641171801946e-07,0.9999979525224993,2.4288895507733603e-06,0.9999958234120045,0.9999993742429792,12.528004204646658,8.646315013140898,6.910916788906175,20.17148711677051,3.7816485516449037,1.1342687161861391,2.922867628203496,4.64042947508631
architecture,late_heavy,BBB,enc1,bp_raw,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,19.06424429068793,22.228024696544537,3.8147132571082842,37.687140050801375,19.06424429068793,22.228024696544537,3.8147132571082842,37.687140050801375
architecture,late_heavy,BBB,enc2,bp_raw,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.385792735347385,13.552001358501544,2.1578572029687653,22.369298911809818,10.385792735347385,13.552001358501544,2.1578572029687653,22.369298911809818
architecture,late_heavy,BBB,enc3,bp_raw,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.8627729602173893,2.6569064385269914,1.6258599221916938,5.830187207193235,3.8627729602173893,2.6569064385269914,1.6258599221916938,5.830187207193235
architecture,late_heavy,HBB,enc1,hebbian_effective,0.7961097731002559,0.24165757424516943,0.5840551769773146,0.9620004443738104,0.017541869932313804,0.019018740132748103,0.0030661295318611622,0.03226949775386444,276.64171631780846,356.31804415788685,35.789105289945915,591.3095816277093,0.49489289736138103,0.30530832840765537,0.2720817583445392,0.7479407763319833,549.0510712878232,144.71656837516298,433.4330421306563,659.2881352085955,9.21560640677404,7.667294472937599,4.0423785407833055,15.629788598988373
architecture,late_heavy,HBB,enc1,hebbian_raw,0.7960968098131682,0.2414983343743623,0.5841351370887278,0.9618693604048982,35.083581652755996,38.037423694312395,6.1321785329393075,64.53892773200278,0.13835586910881506,0.17821536380689254,0.017897956185427853,0.29574336198849405,0.4951379145637166,0.3049818803485776,0.2726046637919812,0.7478307477491148,632.5207915651415,229.42273856105467,460.35426742681904,818.809258538337,9.21560640677404,7.667294472937599,4.0423785407833055,15.629788598988373
