sweep,method,case,metric,value,baseline_case,baseline_value,absolute_change,relative_change,layer,noise_type,rule
architecture,HHH,late_heavy,accuracy,0.8375600000000001,balanced,0.8940999999999999,-0.05653999999999981,-0.06323677440995032,,,
architecture,HHH,early_heavy,macro_f1,0.8956869999927062,balanced,0.8927295922727015,0.0029574077200046345,0.0033127698976264295,,,
architecture,HHH,balanced,macro_f1,0.8927295922727015,balanced,0.8927295922727015,0.0,0.0,,,
architecture,HHH,late_heavy,macro_f1,0.8344951275788348,balanced,0.8927295922727015,-0.05823446469386673,-0.06523191927081616,,,
architecture,HHH,early_heavy,classification_ce,0.34128511548042295,balanced,0.3552584707736969,-0.013973355293273926,-0.03933292642622379,,,
architecture,HHH,balanced,classification_ce,0.3552584707736969,balanced,0.3552584707736969,0.0,0.0,,,
architecture,HHH,late_heavy,classification_ce,0.5300228357315063,balanced,0.3552584707736969,0.17476436495780945,0.4919358138785778,,,
architecture,HHH,early_heavy,system_reconstruction_mse,0.02726597076416016,balanced,0.018500022951242874,0.008765947812917285,0.47383442904618317,,,
architecture,HHH,balanced,system_reconstruction_mse,0.018500022951242874,balanced,0.018500022951242874,0.0,0.0,,,
architecture,HHH,late_heavy,system_reconstruction_mse,0.02430047945100434,balanced,0.018500022951242874,0.005800456499761467,0.3135378001819312,,,
architecture,HHH,early_heavy,standardized_reconstruction_mse,0.02982157151981276,balanced,0.018688835105117485,0.011132736414695275,0.5956891561984597,,,
architecture,HHH,balanced,standardized_reconstruction_mse,0.018688835105117485,balanced,0.018688835105117485,0.0,0.0,,,
architecture,HHH,late_heavy,standardized_reconstruction_mse,0.0244281455927479,balanced,0.018688835105117485,0.005739310487630416,0.3070983533773995,,,
architecture,HHH,early_heavy,system_training_samples_seen,2000000.0,balanced,2000000.0,0.0,0.0,,,
architecture,HHH,balanced,system_training_samples_seen,2000000.0,balanced,2000000.0,0.0,0.0,,,
architecture,HHH,late_heavy,system_training_samples_seen,2000000.0,balanced,2000000.0,0.0,0.0,,,
architecture,HHH,early_heavy,system_training_wall_time_sec,860.7153111800086,balanced,695.3432434400213,165.3720677399873,0.23782796381518542,,,
architecture,HHH,balanced,system_training_wall_time_sec,695.3432434400213,balanced,695.3432434400213,0.0,0.0,,,
architecture,HHH,late_heavy,system_training_wall_time_sec,453.7938988000154,balanced,695.3432434400213,-241.54934464000587,-0.3473814506990906,,,
architecture,HHH,early_heavy,standardized_decoder_samples_seen,500000.0,balanced,500000.0,0.0,0.0,,,
architecture,HHH,balanced,standardized_decoder_samples_seen,500000.0,balanced,500000.0,0.0,0.0,,,
architecture,HHH,late_heavy,standardized_decoder_samples_seen,500000.0,balanced,500000.0,0.0,0.0,,,
architecture,HHH,early_heavy,standardized_decoder_wall_time_sec,250.84115400002338,balanced,242.39518759998336,8.445966400040021,0.03484378746816575,,,
architecture,HHH,balanced,standardized_decoder_wall_time_sec,242.39518759998336,balanced,242.39518759998336,0.0,0.0,,,
architecture,HHH,late_heavy,standardized_decoder_wall_time_sec,151.08746913999784,balanced,242.39518759998336,-91.30771845998552,-0.3766894853154726,,,
architecture,HHH,early_heavy,total_training_samples_seen,2500000.0,balanced,2500000.0,0.0,0.0,,,
architecture,HHH,balanced,total_training_samples_seen,2500000.0,balanced,2500000.0,0.0,0.0,,,
architecture,HHH,late_heavy,total_training_samples_seen,2500000.0,balanced,2500000.0,0.0,0.0,,,
architecture,HHH,early_heavy,total_training_wall_time_sec,1111.5564651800319,balanced,937.7384310400046,173.8180341400273,0.18535876144827843,,,
architecture,HHH,balanced,total_training_wall_time_sec,937.7384310400046,balanced,937.7384310400046,0.0,0.0,,,
architecture,HHH,late_heavy,total_training_wall_time_sec,604.8813679400133,balanced,937.7384310400046,-332.85706309999125,-0.35495725895635283,,,
dimension,BBB,L16,accuracy,0.8804400000000001,L64,0.91584,-0.035399999999999876,-0.038653039832242775,,,
dimension,BBB,L32,accuracy,0.92424,L64,0.91584,0.008399999999999963,0.009171907756803363,,,
dimension,BBB,L64,accuracy,0.91584,L64,0.91584,0.0,0.0,,,
dimension,BBB,L128,accuracy,0.92458,L64,0.91584,0.00873999999999997,0.009543151642197793,,,
dimension,BBB,L16,macro_f1,0.8784582626665538,L64,0.9144916053430412,-0.03603334267648739,-0.03940259535015773,,,
dimension,BBB,L32,macro_f1,0.9232103317709275,L64,0.9144916053430412,0.008718726427886292,0.009533960046146315,,,
dimension,BBB,L64,macro_f1,0.9144916053430412,L64,0.9144916053430412,0.0,0.0,,,
dimension,BBB,L128,macro_f1,0.9235338700989086,L64,0.9144916053430412,0.009042264755867446,0.009887750421137712,,,
dimension,BBB,L16,classification_ce,0.39279532730579375,L64,0.28265197277069093,0.11014335453510282,0.38967835057026096,,,
dimension,BBB,L32,classification_ce,0.2590427309274673,L64,0.28265197277069093,-0.023609241843223605,-0.08352760326316108,,,
dimension,BBB,L64,classification_ce,0.28265197277069093,L64,0.28265197277069093,0.0,0.0,,,
dimension,BBB,L128,classification_ce,0.25476747155189516,L64,0.28265197277069093,-0.027884501218795765,-0.09865312789208505,,,
dimension,BBB,L16,system_reconstruction_mse,0.018334824630386975,L64,0.0032011022525417565,0.01513372237784522,4.727659780658677,,,
dimension,BBB,L32,system_reconstruction_mse,0.008566856368999093,L64,0.0032011022525417565,0.005365754116457336,1.6762207800517994,,,
dimension,BBB,L64,system_reconstruction_mse,0.0032011022525417565,L64,0.0032011022525417565,0.0,0.0,,,
dimension,BBB,L128,system_reconstruction_mse,0.0021745337577741973,L64,0.0032011022525417565,-0.0010265684947675592,-0.32069219083262507,,,
dimension,BBB,L16,standardized_reconstruction_mse,0.018269237486586275,L64,0.003234369178791435,0.01503486830779484,4.648470063879457,,,
dimension,BBB,L32,standardized_reconstruction_mse,0.008517628646870048,L64,0.003234369178791435,0.0052832594680786125,1.633474465774899,,,
dimension,BBB,L64,standardized_reconstruction_mse,0.003234369178791435,L64,0.003234369178791435,0.0,0.0,,,
dimension,BBB,L128,standardized_reconstruction_mse,0.0020935477857687034,L64,0.003234369178791435,-0.0011408213930227317,-0.3527183600903272,,,
dimension,BBB,L16,system_training_samples_seen,500000.0,L64,500000.0,0.0,0.0,,,
dimension,BBB,L32,system_training_samples_seen,500000.0,L64,500000.0,0.0,0.0,,,
dimension,BBB,L64,system_training_samples_seen,500000.0,L64,500000.0,0.0,0.0,,,
dimension,BBB,L128,system_training_samples_seen,500000.0,L64,500000.0,0.0,0.0,,,
dimension,BBB,L16,system_training_wall_time_sec,206.69528672000015,L64,312.9768771000319,-106.28159038003176,-0.3395828834539182,,,
dimension,BBB,L32,system_training_wall_time_sec,194.38975467999845,L64,312.9768771000319,-118.58712242003347,-0.3789005869022424,,,
dimension,BBB,L64,system_training_wall_time_sec,312.9768771000319,L64,312.9768771000319,0.0,0.0,,,
dimension,BBB,L128,system_training_wall_time_sec,270.6050631199993,L64,312.9768771000319,-42.37181398003264,-0.13538320904930579,,,
dimension,BBB,L16,standardized_decoder_samples_seen,500000.0,L64,500000.0,0.0,0.0,,,
dimension,BBB,L32,standardized_decoder_samples_seen,500000.0,L64,500000.0,0.0,0.0,,,
dimension,BBB,L64,standardized_decoder_samples_seen,500000.0,L64,500000.0,0.0,0.0,,,
dimension,BBB,L128,standardized_decoder_samples_seen,500000.0,L64,500000.0,0.0,0.0,,,
dimension,BBB,L16,standardized_decoder_wall_time_sec,167.44293054000082,L64,248.2134587599907,-80.77052821998987,-0.3254075287597132,,,
dimension,BBB,L32,standardized_decoder_wall_time_sec,167.72158827999664,L64,248.2134587599907,-80.49187047999405,-0.32428487513171117,,,
dimension,BBB,L64,standardized_decoder_wall_time_sec,248.2134587599907,L64,248.2134587599907,0.0,0.0,,,
dimension,BBB,L128,standardized_decoder_wall_time_sec,215.9034590400028,L64,248.2134587599907,-32.3099997199879,-0.1301702167215269,,,
dimension,BBB,L16,total_training_samples_seen,1000000.0,L64,1000000.0,0.0,0.0,,,
dimension,BBB,L32,total_training_samples_seen,1000000.0,L64,1000000.0,0.0,0.0,,,
dimension,BBB,L64,total_training_samples_seen,1000000.0,L64,1000000.0,0.0,0.0,,,
dimension,BBB,L128,total_training_samples_seen,1000000.0,L64,1000000.0,0.0,0.0,,,
dimension,BBB,L16,total_training_wall_time_sec,374.13821726000094,L64,561.1903358600226,-187.05211860002169,-0.333313150008837,,,
dimension,BBB,L32,total_training_wall_time_sec,362.1113429599951,L64,561.1903358600226,-199.07899290002752,-0.3547441575146499,,,
dimension,BBB,L64,total_training_wall_time_sec,561.1903358600226,L64,561.1903358600226,0.0,0.0,,,
dimension,BBB,L128,total_training_wall_time_sec,486.50852216000203,L64,561.1903358600226,-74.6818137000206,-0.13307751208076452,,,
dimension,HBB,L16,accuracy,0.8667399999999998,L64,0.91638,-0.04964000000000013,-0.054169667605083,,,
dimension,HBB,L32,accuracy,0.91816,L64,0.91638,0.0017800000000000038,0.0019424256312862147,,,
dimension,HBB,L64,accuracy,0.91638,L64,0.91638,0.0,0.0,,,
dimension,HBB,L128,accuracy,0.92628,L64,0.91638,0.00990000000000002,0.010803378511086249,,,
dimension,HBB,L16,macro_f1,0.861538711374858,L64,0.9151505160361297,-0.05361180466127169,-0.05858249951431655,,,
dimension,HBB,L32,macro_f1,0.916931770878709,L64,0.9151505160361297,0.001781254842579294,0.0019464064231670328,,,
dimension,HBB,L64,macro_f1,0.9151505160361297,L64,0.9151505160361297,0.0,0.0,,,
dimension,HBB,L128,macro_f1,0.9252821272890236,L64,0.9151505160361297,0.010131611252893857,0.011070978025305288,,,
dimension,HBB,L16,classification_ce,0.4181115448474884,L64,0.2832034945487976,0.1349080502986908,0.47636435600186067,,,
dimension,HBB,L32,classification_ce,0.27923738956451416,L64,0.2832034945487976,-0.003966104984283458,-0.014004435187455186,,,
dimension,HBB,L64,classification_ce,0.2832034945487976,L64,0.2832034945487976,0.0,0.0,,,
dimension,HBB,L128,classification_ce,0.2508766621351242,L64,0.2832034945487976,-0.0323268324136734,-0.11414701102139527,,,
dimension,HBB,L16,system_reconstruction_mse,0.018972149653726695,L64,0.0032699993506742986,0.015702150303052397,4.801881778665373,,,
dimension,HBB,L32,system_reconstruction_mse,0.009653632222389689,L64,0.0032699993506742986,0.00638363287171539,1.9521816933837786,,,
dimension,HBB,L64,system_reconstruction_mse,0.0032699993506742986,L64,0.0032699993506742986,0.0,0.0,,,
dimension,HBB,L128,system_reconstruction_mse,0.0022705839884037877,L64,0.0032699993506742986,-0.000999415362270511,-0.3056316698530207,,,
dimension,HBB,L16,standardized_reconstruction_mse,0.018863347823473868,L64,0.003312132648351241,0.015551215175122627,4.69522716071432,,,
dimension,HBB,L32,standardized_reconstruction_mse,0.009534573761589674,L64,0.003312132648351241,0.006222441113238433,1.8786811314629093,,,
dimension,HBB,L64,standardized_reconstruction_mse,0.003312132648351241,L64,0.003312132648351241,0.0,0.0,,,
dimension,HBB,L128,standardized_reconstruction_mse,0.002187548858876131,L64,0.003312132648351241,-0.00112458378947511,-0.33953464686729445,,,
dimension,HBB,L16,system_training_samples_seen,1000000.0,L64,1000000.0,0.0,0.0,,,
dimension,HBB,L32,system_training_samples_seen,1000000.0,L64,1000000.0,0.0,0.0,,,
dimension,HBB,L64,system_training_samples_seen,1000000.0,L64,1000000.0,0.0,0.0,,,
dimension,HBB,L128,system_training_samples_seen,1000000.0,L64,1000000.0,0.0,0.0,,,
dimension,HBB,L16,system_training_wall_time_sec,343.0287666599994,L64,435.8698365200338,-92.8410698600344,-0.21300182320775699,,,
dimension,HBB,L32,system_training_wall_time_sec,287.4034431599983,L64,435.8698365200338,-148.4663933600355,-0.3406209398323695,,,
dimension,HBB,L64,system_training_wall_time_sec,435.8698365200338,L64,435.8698365200338,0.0,0.0,,,
dimension,HBB,L128,system_training_wall_time_sec,449.525742639997,L64,435.8698365200338,13.65590611996322,0.03133023892864751,,,
dimension,HBB,L16,standardized_decoder_samples_seen,500000.0,L64,500000.0,0.0,0.0,,,
dimension,HBB,L32,standardized_decoder_samples_seen,500000.0,L64,500000.0,0.0,0.0,,,
dimension,HBB,L64,standardized_decoder_samples_seen,500000.0,L64,500000.0,0.0,0.0,,,
dimension,HBB,L128,standardized_decoder_samples_seen,500000.0,L64,500000.0,0.0,0.0,,,
dimension,HBB,L16,standardized_decoder_wall_time_sec,211.05389860000068,L64,246.48647319999182,-35.43257459999114,-0.14375058452494494,,,
dimension,HBB,L32,standardized_decoder_wall_time_sec,171.9022014000002,L64,246.48647319999182,-74.58427179999163,-0.3025897154992187,,,
dimension,HBB,L64,standardized_decoder_wall_time_sec,246.48647319999182,L64,246.48647319999182,0.0,0.0,,,
dimension,HBB,L128,standardized_decoder_wall_time_sec,246.62007809999923,L64,246.48647319999182,0.13360490000741265,0.0005420374524934237,,,
dimension,HBB,L16,total_training_samples_seen,1500000.0,L64,1500000.0,0.0,0.0,,,
dimension,HBB,L32,total_training_samples_seen,1500000.0,L64,1500000.0,0.0,0.0,,,
dimension,HBB,L64,total_training_samples_seen,1500000.0,L64,1500000.0,0.0,0.0,,,
dimension,HBB,L128,total_training_samples_seen,1500000.0,L64,1500000.0,0.0,0.0,,,
dimension,HBB,L16,total_training_wall_time_sec,554.0826652600001,L64,682.3563097200256,-128.27364446002548,-0.18798630954648407,,,
dimension,HBB,L32,total_training_wall_time_sec,459.3056445599985,L64,682.3563097200256,-223.0506651600271,-0.32688298178344044,,,
dimension,HBB,L64,total_training_wall_time_sec,682.3563097200256,L64,682.3563097200256,0.0,0.0,,,
dimension,HBB,L128,total_training_wall_time_sec,696.1458207399962,L64,682.3563097200256,13.789511019970632,0.020208666386669044,,,
dimension,HHB,L16,accuracy,0.7337,L64,0.9198599999999999,-0.18615999999999988,-0.2023786228336894,,,
dimension,HHB,L32,accuracy,0.9084,L64,0.9198599999999999,-0.011459999999999915,-0.012458417585271083,,,
dimension,HHB,L64,accuracy,0.9198599999999999,L64,0.9198599999999999,0.0,0.0,,,
dimension,HHB,L128,accuracy,0.9342,L64,0.9198599999999999,0.01434000000000013,0.015589328810889204,,,
dimension,HHB,L16,macro_f1,0.7137083185662372,L64,0.9186179440340909,-0.20490962546785374,-0.22306294667810916,,,
dimension,HHB,L32,macro_f1,0.9071676876243189,L64,0.9186179440340909,-0.011450256409772042,-0.012464655719086025,,,
dimension,HHB,L64,macro_f1,0.9186179440340909,L64,0.9186179440340909,0.0,0.0,,,
dimension,HHB,L128,macro_f1,0.9332793970639731,L64,0.9186179440340909,0.014661453029882199,0.01596033816352507,,,
dimension,HHB,L16,classification_ce,0.7524276435375213,L64,0.2773395895957947,0.47508805394172665,1.713019243420765,,,
dimension,HHB,L32,classification_ce,0.30749514102935793,L64,0.2773395895957947,0.030155551433563244,0.10873150666085707,,,
