sweep,case,method,layer,effective_rank_mean,effective_rank_sd,effective_rank_ci_low,effective_rank_ci_high,stable_rank_mean,stable_rank_sd,stable_rank_ci_low,stable_rank_ci_high,winner_coverage_ratio_mean,winner_coverage_ratio_sd,winner_coverage_ratio_ci_low,winner_coverage_ratio_ci_high,winner_entropy_mean,winner_entropy_sd,winner_entropy_ci_low,winner_entropy_ci_high,max_winner_share_mean,max_winner_share_sd,max_winner_share_ci_low,max_winner_share_ci_high,linear_probe_cv_accuracy_mean,linear_probe_cv_accuracy_sd,linear_probe_cv_accuracy_ci_low,linear_probe_cv_accuracy_ci_high,knn_cv_accuracy_mean,knn_cv_accuracy_sd,knn_cv_accuracy_ci_low,knn_cv_accuracy_ci_high,between_within_scatter_ratio_mean,between_within_scatter_ratio_sd,between_within_scatter_ratio_ci_low,between_within_scatter_ratio_ci_high,silhouette_score_mean,silhouette_score_sd,silhouette_score_ci_low,silhouette_score_ci_high
architecture,early_heavy,BBB,h2,4.354555866559697,0.5443531230968047,3.95749065421726,4.781094909602274,2.302300965314088,0.21190115327339457,2.150132513321893,2.470091975899791,0.9928571428571429,0.01597191412499849,0.9785714285714286,1.0,0.9146520351683763,0.020757446125100464,0.8989610931919844,0.9303429771447682,0.09863129867619456,0.020147013125220808,0.08380567558972632,0.11586758204413516,0.9207000000000001,0.004590751572455181,0.9179,0.9248,0.8793,0.005995831885568523,0.8745999999999998,0.884,0.12426573233365176,0.002440780942514685,0.12263431899682323,0.12640003058672053,-0.012490503817649878,0.003201730517414554,-0.014563008725094567,-0.009769735626832374
architecture,early_heavy,BBB,z,16.858641951467423,1.611408306029343,15.84581798944366,18.334650325022853,5.868803570621895,0.4253798530450291,5.588036875449659,6.244593750319003,0.775,0.09150969040216451,0.703125,0.85,0.8719267017968718,0.02340081401098391,0.8537674368709366,0.8920286345208833,0.06492857142857142,0.008687165057410495,0.05928571428571429,0.07264285714285715,0.8708,0.003290136775272402,0.8683,0.8733000000000001,0.9257,0.00805139739424156,0.9191,0.9317,0.1104180515962192,0.0006187164305735522,0.10994565606515849,0.11089044712727988,-0.029308196576537725,0.010484596468398624,-0.034519845473712445,-0.019730362084840983
architecture,early_heavy,HBB,h1,1.3779399792919107,0.07236124584350404,1.3226056617595487,1.4334961571850906,1.178067755276162,0.03287562970230566,1.1528927313998596,1.2033060944746334,0.88125,0.052524175981161283,0.840625,0.921875,0.7342161103982943,0.015471682123756651,0.7213751252864067,0.7471682370179498,0.10769889607917778,0.004825245022340114,0.10400080664165172,0.11139698551670382,0.9,0.0039051248379533307,0.8975,0.9033999999999999,0.8183,0.013060436439874437,0.8088000000000001,0.8295,0.10917918870428105,0.0001647767742234439,0.1090399866158819,0.10929993732431995,-0.03330478346968871,0.0029021994813403173,-0.03555193479273695,-0.031057632146640462
architecture,early_heavy,HBB,h2,3.782469625310859,0.8642244220517565,3.0410790958131897,4.452100492335198,2.08267289664648,0.31618399404899344,1.8118481082389148,2.332749587640505,1.0,0.0,1.0,1.0,0.9067239610410611,0.021871305675054818,0.8914570718015156,0.9253988497419794,0.1190726502921351,0.030736019144562993,0.09334854805419932,0.1423087715360009,0.921,0.006314665470157501,0.9163,0.9260999999999999,0.8800000000000001,0.00422788363132199,0.8766999999999999,0.8833,0.12460246106278258,0.0028311705793166568,0.1225059224174806,0.12683620217091382,-0.014118632168559835,0.0025579230008254605,-0.015936015619230796,-0.0119229188879611
architecture,early_heavy,HBB,z,15.224534669303239,2.4582182334651357,13.568628685044121,17.24447029609513,5.430264844573179,0.652527374875544,4.987059842664702,5.967180432195408,0.715625,0.1341386001958422,0.603125,0.815625,0.8521947957294052,0.039220243783640606,0.8205314821708416,0.8802603761689237,0.06962857142857143,0.008995095035288819,0.06318571428571429,0.07752857142857142,0.8739000000000001,0.015097185168103338,0.8633000000000001,0.8873,0.9268000000000001,0.007718484307168133,0.9213999999999999,0.9334,0.11027633046508793,0.0011380752788223167,0.10934507721758824,0.11108524341868412,-0.017138873846626233,0.018692701870999168,-0.03134325889310528,-0.0025611096407786105
architecture,early_heavy,HHB,h1,1.3779399792919107,0.07236124584350404,1.3226056617595487,1.4334961571850906,1.178067755276162,0.03287562970230566,1.1528927313998596,1.2033060944746334,0.88125,0.052524175981161283,0.840625,0.921875,0.7342161103982943,0.015471682123756651,0.7213751252864067,0.7471682370179498,0.10769889607917778,0.004825245022340114,0.10400080664165172,0.11139698551670382,0.9,0.0039051248379533307,0.8975,0.9033999999999999,0.8183,0.013060436439874437,0.8088000000000001,0.8295,0.10917918870428105,0.0001647767742234439,0.1090399866158819,0.10929993732431995,-0.03330478346968871,0.0029021994813403173,-0.03555193479273695,-0.031057632146640462
architecture,early_heavy,HHB,h2,1.0141958288365602,0.002432028463937887,1.0120584746436823,1.0158837672779295,1.0070782175859854,0.001210306875117876,1.0060140988622261,1.0079181856878323,0.10714285714285714,0.0,0.10714285714285714,0.10714285714285714,0.32969533691986563,0.0,0.32969533691986563,0.32969533691986563,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.8985999999999998,0.008443932733033782,0.8924,0.9050999999999998,0.8518000000000001,0.006667083320313264,0.8467,0.8568999999999999,0.11006252684007407,0.0008806126837290952,0.10936151888438217,0.11072548402275673,-0.04867645043445461,0.002083688062985944,-0.05014604312852746,-0.04691981260273871
architecture,early_heavy,HHB,z,9.956353319850072,1.0555282276030236,9.071150548315934,10.740138836669734,3.740394906994753,0.2844938178336306,3.4971948779596174,3.935840862858348,0.721875,0.08149003006503311,0.6625,0.7875,0.8372298766430044,0.02115364165792372,0.8215680283383359,0.8549771204682844,0.06472857142857143,0.005999234645063539,0.06032857142857143,0.06912857142857144,0.8854,0.0038632887544163886,0.8826,0.8883000000000001,0.9171999999999999,0.003492849839314599,0.9148000000000002,0.9202,0.1099151231965992,0.0014733593808152958,0.10877012445068637,0.111060121942512,-0.01016492007194584,0.01974515020712368,-0.025593432434149105,0.0052635922902574215
architecture,early_heavy,HHH,h1,1.3779399792919107,0.07236124584350404,1.3226056617595487,1.4334961571850906,1.178067755276162,0.03287562970230566,1.1528927313998596,1.2033060944746334,0.88125,0.052524175981161283,0.840625,0.921875,0.7342161103982943,0.015471682123756651,0.7213751252864067,0.7471682370179498,0.10769889607917778,0.004825245022340114,0.10400080664165172,0.11139698551670382,0.9,0.0039051248379533307,0.8975,0.9033999999999999,0.8183,0.013060436439874437,0.8088000000000001,0.8295,0.10917918870428105,0.0001647767742234439,0.1090399866158819,0.10929993732431995,-0.03330478346968871,0.0029021994813403173,-0.03555193479273695,-0.031057632146640462
architecture,early_heavy,HHH,h2,1.0141958288365602,0.002432028463937887,1.0120584746436823,1.0158837672779295,1.0070782175859854,0.001210306875117876,1.0060140988622261,1.0079181856878323,0.10714285714285714,0.0,0.10714285714285714,0.10714285714285714,0.32969533691986563,0.0,0.32969533691986563,0.32969533691986563,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.8985999999999998,0.008443932733033782,0.8924,0.9050999999999998,0.8518000000000001,0.006667083320313264,0.8467,0.8568999999999999,0.11006252684007407,0.0008806126837290952,0.10936151888438217,0.11072548402275673,-0.04867645043445461,0.002083688062985944,-0.05014604312852746,-0.04691981260273871
