contrast,left,right,metric,mean_difference,sd_difference,ci_low,ci_high,cohens_dz
BBB_minus_HHB,BBB,HHB,standardized_reconstruction_mse,-0.0013341779565811157,0.00024192852402812664,-0.0015044108326094491,-0.00113201966310034,-5.514760865593526
BBB_minus_HHB,BBB,HHB,reconstruction_aulc,-0.0018277858276367187,0.00037882447925544706,-0.002127172842934728,-0.0015068662307560442,-4.824888378990459
BBB_minus_HHB,BBB,HHB,system_samples_seen,-1000000.0,0.0,-1000000.0,-1000000.0,-inf
BBB_minus_HHB,BBB,HHB,system_wall_time_sec,-266.27820475999505,69.74384160387959,-308.374826100007,-206.0669454199946,-3.8179457660557516
BBB_minus_HHB,BBB,HHB,standardized_decoder_samples_seen,0.0,0.0,0.0,0.0,0.0
BBB_minus_HHB,BBB,HHB,standardized_decoder_wall_time_sec,-9.37541168000116,47.80544908523064,-51.876577919981536,20.354112979979256,-0.1961159629164046
BBB_minus_HHB,BBB,HHB,probe_samples_seen,0.0,0.0,0.0,0.0,0.0
BBB_minus_HHB,BBB,HHB,probe_wall_time_sec,0.5262027999833663,4.151832775346821,-2.9609696000225085,3.257375999984288,0.12673988295191158
HBB_minus_RBB,HBB,RBB,accuracy,0.0011000000000000343,0.0009380831519647039,0.00036000000000002697,0.001800000000000046,1.1726039399558714
HBB_minus_RBB,HBB,RBB,macro_f1,0.001161009547689007,0.0009284804764224866,0.00043873235998577177,0.0018125297664490336,1.2504404531611417
HBB_minus_RBB,HBB,RBB,classification_ce,-0.0021005213260650636,0.0036375907594614946,-0.005222195386886596,0.0005944371223449707,-0.5774484995601932
HBB_minus_RBB,HBB,RBB,system_reconstruction_mse,-3.878316650585264e-05,0.00013292755960750999,-0.0001438687043773885,6.217709171528708e-05,-0.2917616679367784
HBB_minus_RBB,HBB,RBB,standardized_reconstruction_mse,9.974800421267208e-06,0.00020877003358493534,-0.00014280105128580204,0.000175437701624267,0.047778889766806935
HBB_minus_RBB,HBB,RBB,reconstruction_aulc,-6.785959482192936e-05,0.00016238403353541263,-0.00019415561340004137,5.543951159715701e-05,-0.41789573361675714
HBB_minus_RBB,HBB,RBB,system_samples_seen,500000.0,0.0,500000.0,500000.0,inf
HBB_minus_RBB,HBB,RBB,system_wall_time_sec,227.12101764003364,92.83348221626963,144.18315052000634,285.80173184005946,2.446542047307036
HBB_minus_RBB,HBB,RBB,standardized_decoder_samples_seen,0.0,0.0,0.0,0.0,0.0
HBB_minus_RBB,HBB,RBB,standardized_decoder_wall_time_sec,50.153729499991826,53.69043333521356,4.173676720001458,89.78716687999295,0.9341278582510127
HBB_minus_RBB,HBB,RBB,probe_samples_seen,0.0,0.0,0.0,0.0,0.0
HBB_minus_RBB,HBB,RBB,probe_wall_time_sec,11.33895409998895,11.588784824946723,2.2402469800039397,20.43766121997396,0.9784420257402681
HHB_minus_RRB,HHB,RRB,accuracy,0.0034599999999999744,0.0023426480742954597,0.002039999999999953,0.005540000000000012,1.476961067248888
HHB_minus_RRB,HHB,RRB,macro_f1,0.0034765259242007128,0.0025515003872823897,0.0019417011781747596,0.00572484522310992,1.3625417975748655
HHB_minus_RRB,HHB,RRB,classification_ce,-0.008600050210952758,0.005598093963381656,-0.012694424390792847,-0.004024934768676758,-1.5362461343463594
HHB_minus_RRB,HHB,RRB,system_reconstruction_mse,3.0378731124255064e-05,0.00034409531559393954,-0.0002810160368316028,0.00023931090199217508,0.0882858026469167
HHB_minus_RRB,HHB,RRB,standardized_reconstruction_mse,9.85953798099421e-06,0.000329038107593515,-0.00028149902450795106,0.0002054453778753476,0.029964729778881486
HHB_minus_RRB,HHB,RRB,reconstruction_aulc,0.00015239817935228382,0.0003976377009023749,-0.00020102443216741037,0.0003809985473155975,0.3832588786386216
HHB_minus_RRB,HHB,RRB,system_samples_seen,1000000.0,0.0,1000000.0,1000000.0,inf
HHB_minus_RRB,HHB,RRB,system_wall_time_sec,389.37687768002615,128.80623686293433,280.8213610000188,474.5338138400519,3.022966023721126
HHB_minus_RRB,HHB,RRB,standardized_decoder_samples_seen,0.0,0.0,0.0,0.0,0.0
HHB_minus_RRB,HHB,RRB,standardized_decoder_wall_time_sec,74.79651843999144,48.11165413592809,31.030386579999504,104.44157363998565,1.5546444989954322
HHB_minus_RRB,HHB,RRB,probe_samples_seen,0.0,0.0,0.0,0.0,0.0
HHB_minus_RRB,HHB,RRB,probe_wall_time_sec,13.553542740015837,7.260457121728468,7.0413246600001,17.309517500000585,1.866761625718299
