seed,method_id,method,noise_type,severity,accuracy,macro_f1,classification_ce,system_reconstruction_mse,standardized_reconstruction_mse,representation_cosine,prediction_js_divergence,num_samples,num_pixels,sample_ids_sha256,accuracy_absolute_degradation,accuracy_relative_degradation,macro_f1_absolute_degradation,system_reconstruction_mse_increase,standardized_reconstruction_mse_increase,source_condition
0,hybrid_hhb,HHB,gaussian,0.3,0.734,0.7276871221377359,0.8046330809593201,0.034956866501788704,0.037532612516442125,0.9410220980644226,0.11874905973672867,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.18469999999999998,0.2010449548274736,0.18965548881109906,0.03034833085147702,0.033059019936347495,gaussian
0,hybrid_hhb,HHB,gaussian,0.4,0.5789,0.5473151191367611,1.3387600183486938,0.05502293902027364,0.05886392668120715,0.9152464866638184,0.2059047818183899,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.3398,0.36987046914117777,0.37002749181207384,0.05041440336996195,0.05439033410111252,gaussian
0,hybrid_hbb,HBB,gaussian,0.1,0.8988,0.8975695987735849,0.3338005840778351,0.005436062236708038,0.0055426487684249875,0.994196891784668,0.012880468741059303,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.015499999999999958,0.016952860111560712,0.015426826330585675,0.0020954177681280642,0.0021606609329885363,gaussian
0,hybrid_hbb,HBB,gaussian,0.2,0.8571,0.8560132481332152,0.45654746890068054,0.011376885056982235,0.011493378314193415,0.9796200394630432,0.04583688825368881,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.05720000000000003,0.06256152247621134,0.05698317697095534,0.008036240588402261,0.008111390478756964,gaussian
0,hybrid_hbb,HBB,gaussian,0.3,0.7719,0.7736430040480886,0.6761183142662048,0.020170358817431393,0.02008299848206189,0.9612125754356384,0.09772088378667831,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.14239999999999997,0.1557475664442743,0.13935342105608195,0.01682971434885142,0.01670101064662544,gaussian
0,hybrid_hbb,HBB,gaussian,0.4,0.6357,0.6408025046432556,1.016125202178955,0.03106581072515371,0.030785256623248665,0.9418472647666931,0.17006203532218933,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.27859999999999996,0.30471398884392425,0.27219392046091495,0.027725166256573737,0.027403268787812213,gaussian
1,full_bp,BBB,gaussian,0.1,0.8893,0.888490059543337,0.3584267199039459,0.0057197525175250305,0.005813540909241657,0.9931247234344482,0.020382307469844818,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.026600000000000068,0.0290424718855771,0.02627783445627474,0.0025980723093967048,0.0025919779986751323,gaussian
1,full_bp,BBB,gaussian,0.2,0.8232,0.8219755160022381,0.5317438840866089,0.01246095577940649,0.012552217719019676,0.9757874011993408,0.06623467803001404,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.0927,0.1012119226989846,0.09279237799737372,0.009339275571278165,0.009330654808453152,gaussian
1,full_bp,BBB,gaussian,0.3,0.7442,0.7377615637302598,0.742302417755127,0.022254998839631373,0.022110115781122323,0.9545038938522339,0.11403371393680573,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.17170000000000007,0.18746588055464578,0.17700633026935197,0.019133318631503048,0.018888552870555797,gaussian
1,full_bp,BBB,gaussian,0.4,0.6669,0.649095060311847,0.9613147377967834,0.033902529665888574,0.033366419153797386,0.9329267740249634,0.1613691747188568,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.249,0.2718637405830331,0.26567283368776473,0.03078084945776025,0.03014485624323086,gaussian
1,full_hebbian,HHH,gaussian,0.1,0.8093,0.8127852972334182,0.5815560221672058,0.022465509391317563,0.022921899273930763,0.9999591112136841,0.06749439984560013,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.09729999999999994,0.10732406794617246,0.0926314952061269,0.0058569327023564564,0.006326207916104061,gaussian
1,full_hebbian,HHH,gaussian,0.2,0.5684,0.5506486000236108,1.7453324794769287,0.03808958851171999,0.03839574032997598,0.9998650550842285,0.21969175338745117,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.33819999999999995,0.37304213545113607,0.35476819241593427,0.021481011822758887,0.02180004897214928,gaussian
1,full_hebbian,HHH,gaussian,0.3,0.3948,0.3462995788453834,3.5542144775390625,0.059059704519777885,0.058938053302375636,0.999747633934021,0.343086838722229,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.5118,0.5645268034414296,0.5591172135941617,0.04245112783081678,0.042342361944548934,gaussian
1,full_hebbian,HHH,gaussian,0.4,0.2962,0.23445182409760212,5.397826194763184,0.08135372247501295,0.08086541701336296,0.999626874923706,0.42089515924453735,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.6103999999999999,0.6732848003529671,0.670964968341943,0.06474514578605184,0.06426972565553626,gaussian
1,hybrid_hhb,HHB,gaussian,0.1,0.8748,0.8753065653703057,0.4193554222583771,0.00828071210043771,0.009521987274714878,0.985823929309845,0.029360629618167877,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.04149999999999998,0.04529084361017132,0.03975666597191185,0.003376569111493169,0.004734796099760095,gaussian
1,hybrid_hhb,HHB,gaussian,0.2,0.7092,0.7052777960048003,0.9071974754333496,0.01790690435682024,0.0222491082288781,0.9556038975715637,0.12346956878900528,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.20709999999999995,0.22601767979919235,0.20978543533741723,0.0130027613678757,0.017461917053923318,gaussian
1,hybrid_hhb,HHB,gaussian,0.3,0.5695,0.5542026993435201,1.7520668506622314,0.033189073554836974,0.043216160521215324,0.922309160232544,0.2209223210811615,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.3468,0.3784786641929499,0.3608605319986975,0.028284930565892433,0.03842896934626054,gaussian
1,hybrid_hhb,HHB,gaussian,0.4,0.459,0.43582681668455886,2.807598829269409,0.052331351556583326,0.06895376079325773,0.8917701244354248,0.2975982129573822,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.4573,0.49907235621521334,0.4792364146576587,0.04742720856763879,0.06416656961830294,gaussian
1,hybrid_hbb,HBB,gaussian,0.1,0.8993,0.8981354694353941,0.3291824758052826,0.005701512341596642,0.00588508854398922,0.9925265908241272,0.013678443618118763,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.018199999999999994,0.019836512261580376,0.018339830621372455,0.0025839430074302517,0.002695552722775206,gaussian
1,hybrid_hbb,HBB,gaussian,0.2,0.8595,0.8581055013159495,0.436397910118103,0.012602339413701272,0.012853383642313431,0.975044846534729,0.04499262198805809,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.05799999999999994,0.06321525885558577,0.05836979874081705,0.009484770079534882,0.009663847821099417,gaussian
1,hybrid_hbb,HBB,gaussian,0.3,0.7862,0.7843875595311288,0.6355148553848267,0.02213331876871537,0.02240610677368787,0.9543493390083313,0.09447065740823746,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.13129999999999997,0.14310626702997273,0.13208774052563776,0.019015749434548982,0.019216570952473856,gaussian
1,hybrid_hbb,HBB,gaussian,0.4,0.6473,0.6430740071295883,1.0102914571762085,0.03338767957103496,0.03372037106728067,0.9335256814956665,0.1708202362060547,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.2702,0.29449591280653953,0.2734012929271783,0.03027011023686857,0.03053083524606666,gaussian
2,full_bp,BBB,gaussian,0.1,0.8758,0.8739125427219129,0.39357343316078186,0.005201888579738383,0.005279340427749011,0.9918417930603027,0.028549395501613617,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.04289999999999994,0.046696418852726615,0.04343325107374307,0.002365447223186493,0.0025345303309207063,gaussian
2,full_bp,BBB,gaussian,0.2,0.7543,0.7461365429026022,0.7233821153640747,0.012345587249678009,0.012548136419179488,0.9692681431770325,0.10327447205781937,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.1644,0.1789485142048547,0.17120925089305372,0.009509145893126118,0.009803326322351183,gaussian
2,full_bp,BBB,gaussian,0.3,0.6275,0.6079996640180974,1.1836140155792236,0.0226849375160373,0.02306724741410236,0.9402506947517395,0.1862531453371048,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.2912,0.3169696310003266,0.3093461297775586,0.019848496159485408,0.020322437317274053,gaussian
2,full_bp,BBB,gaussian,0.4,0.5002,0.4549468490483816,1.6903369426727295,0.034630698316924426,0.03553817883705606,0.9112914800643921,0.2616150975227356,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.4185,0.45553499510177425,0.46239894474727433,0.03179425696037254,0.03279336874022776,gaussian
2,full_hebbian,HHH,gaussian,0.1,0.8231,0.822337607103148,0.535398006439209,0.0242637211994249,0.024173649320797044,0.9999753832817078,0.0445229709148407,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.06329999999999991,0.07141245487364611,0.06261208076393032,0.004013504668644495,0.0037868794382834928,gaussian
