sweep,case,seed,method_id,method,accuracy,macro_f1,classification_ce,system_reconstruction_mse,standardized_reconstruction_mse,system_training_samples_seen,system_training_wall_time_sec,standardized_decoder_samples_seen,standardized_decoder_wall_time_sec,total_training_samples_seen,total_training_wall_time_sec
dimension,L64,4,full_hebbian,HHH,0.8907,0.8893695955555307,0.3712993562221527,0.01741169210745364,0.018054033372840103,2000000,576.1385577000001,500000,200.71323080000002,2500000,776.8517885000001
dimension,L64,4,hybrid_hhb,HHB,0.9207,0.9193818008888368,0.28007078170776367,0.004961195008608759,0.005053823266710554,1500000,552.8449380000002,500000,288.5430658000005,2000000,841.3880038000007
dimension,L64,4,hybrid_hbb,HBB,0.9178,0.9164806467491966,0.27862468361854553,0.004124570015985139,0.0043051388516718025,1000000,437.9455216999995,500000,228.39706730000034,1500000,666.3425889999999
architecture,balanced,0,full_bp,BBB,0.916,0.9145960269319188,0.2845175266265869,0.0031431785072599137,0.003152589472459287,500000,377.950563600054,500000,270.64373090001754,1000000,648.5942945000716
architecture,balanced,0,full_hebbian,HHH,0.8978,0.8963436886563901,0.35383105278015137,0.018587339352588265,0.018783687848460916,2000000,802.2583635000046,500000,270.7650542999618,2500000,1073.0234177999664
architecture,balanced,0,hybrid_hhb,HHB,0.9187,0.917342610948835,0.27857092022895813,0.004608535650311684,0.00447359258009463,1500000,652.8529571000254,500000,264.2848237999715,2000000,917.1377808999969
architecture,balanced,0,hybrid_hbb,HBB,0.9143,0.9129964251041706,0.28509747982025146,0.0033406444685799737,0.0033819878354364513,1000000,499.52275410003494,500000,275.16037890000734,1500000,774.6831330000423
architecture,balanced,1,full_bp,BBB,0.9159,0.9147678939996118,0.2877305746078491,0.0031216802081283257,0.0032215629105665244,500000,377.7294918000698,500000,303.43101569998544,1000000,681.1605075000552
architecture,balanced,1,full_hebbian,HHH,0.9066,0.9054167924395451,0.31239187717437744,0.016608576688961107,0.0165956913578267,2000000,820.558944700053,500000,296.4658606000012,2500000,1117.0248053000541
architecture,balanced,1,hybrid_hhb,HHB,0.9163,0.9150632313422176,0.28453004360198975,0.00490414298894454,0.004787191174954784,1500000,694.5070460001007,500000,291.83176179998554,2000000,986.3388078000862
architecture,balanced,1,hybrid_hbb,HBB,0.9175,0.9164753000567666,0.2857706844806671,0.0031175693341663905,0.003189535821214014,1000000,506.99570060009137,500000,292.3309189999709,1500000,799.3266196000623
