method,noise_type,severity,accuracy_mean,accuracy_sd,accuracy_ci_low,accuracy_ci_high,macro_f1_mean,macro_f1_sd,macro_f1_ci_low,macro_f1_ci_high,classification_ce_mean,classification_ce_sd,classification_ce_ci_low,classification_ce_ci_high,system_reconstruction_mse_mean,system_reconstruction_mse_sd,system_reconstruction_mse_ci_low,system_reconstruction_mse_ci_high,standardized_reconstruction_mse_mean,standardized_reconstruction_mse_sd,standardized_reconstruction_mse_ci_low,standardized_reconstruction_mse_ci_high,representation_cosine_mean,representation_cosine_sd,representation_cosine_ci_low,representation_cosine_ci_high,prediction_js_divergence_mean,prediction_js_divergence_sd,prediction_js_divergence_ci_low,prediction_js_divergence_ci_high,accuracy_absolute_degradation_mean,accuracy_absolute_degradation_sd,accuracy_absolute_degradation_ci_low,accuracy_absolute_degradation_ci_high,accuracy_relative_degradation_mean,accuracy_relative_degradation_sd,accuracy_relative_degradation_ci_low,accuracy_relative_degradation_ci_high,macro_f1_absolute_degradation_mean,macro_f1_absolute_degradation_sd,macro_f1_absolute_degradation_ci_low,macro_f1_absolute_degradation_ci_high,system_reconstruction_mse_increase_mean,system_reconstruction_mse_increase_sd,system_reconstruction_mse_increase_ci_low,system_reconstruction_mse_increase_ci_high,standardized_reconstruction_mse_increase_mean,standardized_reconstruction_mse_increase_sd,standardized_reconstruction_mse_increase_ci_low,standardized_reconstruction_mse_increase_ci_high,source_condition
HBB,gaussian,0.3,0.78954,0.015036389194218156,0.77864,0.80236,0.7885114162757013,0.013705410947630533,0.7782799088124916,0.7999636229183194,0.6348347425460815,0.040172018167502876,0.6029007911682129,0.6667686939239502,0.020711840691079904,0.0008987068632942018,0.02010482940518126,0.021497082899443958,0.02055136679046008,0.0010884652564116222,0.01987520916763617,0.021515559693939833,0.9558794498443604,0.004489756430150392,0.9524123311042786,0.9593465685844421,0.09045835584402084,0.007755174550700668,0.08432981222867966,0.0963244840502739,0.12683999999999998,0.014478017820129932,0.11481999999999999,0.1377,0.13842085674895724,0.015867897625590686,0.12519110759414487,0.15027961753001065,0.12663909976042848,0.013364964733168429,0.11589218179418473,0.13680597994020874,0.0174418413404056,0.0011847599654133136,0.01656244840714396,0.01842901865161195,0.017239234142108838,0.0013680071204110445,0.016278237842053782,0.01841513446593771,gaussian
HBB,gaussian,0.4,0.67516,0.03255953009488925,0.64988,0.70012,0.6744489041899338,0.030829605602974347,0.6510009845789917,0.6975160919864557,0.9376100897789001,0.07183861754733543,0.88375164270401,0.9921934485435486,0.0323181880086782,0.0010050349338464346,0.03153706421754798,0.03309333985309212,0.03202035437992641,0.0013430602335111543,0.030993426080820514,0.03302751349702173,0.9341599464416503,0.005679877798022754,0.9298725366592407,0.938693106174469,0.15505194365978242,0.014447778534537966,0.1442200005054474,0.16598861217498778,0.24122,0.031704763049106646,0.21703999999999998,0.26575999999999994,0.2632568049424705,0.034832578194765894,0.23665467109702157,0.2902784584128793,0.24070161184619598,0.03031098408747295,0.21770012067158956,0.2637031030208024,0.029048188658003904,0.0014076010298093593,0.02796446679305057,0.030131910522957238,0.028708221731575168,0.001816038223538387,0.02715265038334594,0.030033604202465137,gaussian
HHB,gaussian,0.1,0.88832,0.018049847644786336,0.87318,0.90166,0.8880225991903197,0.016509715562866914,0.8741580187051982,0.9001420558530139,0.3820225477218628,0.05326831950500783,0.34275124669075013,0.4272759199142456,0.00824041243981342,0.0007151292856450662,0.007687108638529875,0.00883761832665424,0.00859750317982265,0.0009559850669933335,0.007833049246729637,0.009361957112915662,0.9891006946563721,0.00199504524032818,0.9873832583427429,0.9904146552085876,0.02435960192233324,0.011580689622491832,0.016156841069459915,0.034335476160049436,0.03153999999999999,0.01725827337829596,0.018900000000000007,0.04597999999999995,0.034297530839659265,0.018799166027540677,0.020516111090818696,0.05002650309212812,0.030595344843771244,0.01573371120302424,0.01909348194547924,0.0437481670519587,0.0035933644112762135,0.0005319284403867198,0.003192791568113833,0.00400018482393148,0.004028956044450098,0.0006353468502806375,0.003527079268669596,0.0045308328202306,gaussian
HHB,gaussian,0.2,0.78006,0.054490531287554905,0.73836,0.82642,0.7795454894915073,0.05496751768619002,0.7360268412757675,0.8262810206130151,0.6948962152004242,0.15833408253779008,0.5640173375606536,0.8200646698474884,0.01810176463068748,0.001527247470227529,0.01683990303856986,0.019231457319065014,0.0195356654867834,0.002184872590430888,0.01784090179988316,0.021230429173683635,0.9651139736175537,0.0055465220011107945,0.9602743744850158,0.9684435963630676,0.09056367948651314,0.027237856839228455,0.06687317416071892,0.11014940142631531,0.13979999999999998,0.053769461592989766,0.09289999999999994,0.18097999999999997,0.1520141246364854,0.05869716815741662,0.10102270470546044,0.1969958892647968,0.1390724545425837,0.0541012612156139,0.09200044633162927,0.18107038347211274,0.013454716602150274,0.0013712932766981039,0.01235529558084449,0.014448309738490045,0.014967118351410846,0.0019018783771072704,0.01353493182182312,0.016399304880998573,gaussian
HHB,gaussian,0.3,0.62686,0.06727000074327337,0.58034,0.68428,0.6120897049589384,0.07713882655718575,0.5558289318338149,0.6757557473254334,1.2848317980766297,0.35408355405300557,1.0060576796531677,1.5745179414749146,0.03335994456622065,0.0021669965207963865,0.03144123687588439,0.034734001970096504,0.03684627685313323,0.0041046158606494665,0.033984372585841596,0.04008455827596237,0.937261414527893,0.00858886388546,0.9297686100006104,0.942129111289978,0.18214327841997147,0.04028708278470965,0.147934453189373,0.21039992272853852,0.29300000000000004,0.06762144630219027,0.23411999999999997,0.33926,0.3185032359171824,0.07345996910409265,0.2549786430991454,0.36895193985055735,0.3065282390751526,0.07734607797180557,0.24163347099511942,0.3625389307936288,0.028712896537683448,0.0020745084458364347,0.02688836162333586,0.03003840518815177,0.032277729717760675,0.0038924580732439267,0.02956235647045836,0.0354616945957651,gaussian
HHB,gaussian,0.4,0.49168,0.06088264941672626,0.44728,0.5436799999999999,0.4497206327004498,0.07135928630184363,0.3969706552840398,0.5095421121443154,2.130407762527466,0.6091757733438166,1.6589856147766113,2.6018299102783202,0.052149941505899244,0.002926093573869738,0.049732205480458785,0.054207416553108054,0.058127805667799334,0.006486580036724928,0.053878284332898194,0.06385372764120296,0.9102998733520508,0.010521065224520409,0.9009638547897338,0.9160312175750732,0.2709861546754837,0.043755790576949866,0.23261859118938447,0.301893538236618,0.42817999999999995,0.061962262708845625,0.3756,0.47386,0.46542123987419537,0.06679341650092385,0.40853331126597875,0.5143977851811952,0.4688973113336413,0.0724413023503666,0.40912386982309873,0.5229188406473755,0.04750289347736203,0.0029073477244657463,0.04523221056724082,0.049581229370467515,0.05355925853242679,0.00632641966060799,0.049456268217514976,0.05913354365037412,gaussian
HHH,gaussian,0.1,0.80388,0.0390818628010488,0.7691600000000001,0.8276600000000001,0.805580015472373,0.03817200259471652,0.7711715194191258,0.8289623058166835,0.5970979452133178,0.09614812483946486,0.5348526477813721,0.6785889625549316,0.023373500763640115,0.001229890670466419,0.02241867906920764,0.024328322458072583,0.02343863826284603,0.0010278178798412833,0.022675300851938675,0.024290476919680223,0.9999677181243897,7.059137898706857e-06,0.9999621629714965,0.9999732732772827,0.05835043638944626,0.01824492684052402,0.04548395052552223,0.07417066246271134,0.09022,0.037577080780709954,0.06487999999999998,0.12236000000000002,0.10093713400312813,0.04228881081632637,0.07276959593507448,0.13708252277010685,0.08714957680032845,0.0364365978868674,0.0630389360260278,0.11843242006500321,0.0048734778123972365,0.0007053675688045566,0.004349153055074262,0.005443024832667138,0.004749803157728545,0.0010145722341650867,0.004042941998851543,0.005627454528808592,gaussian
HHH,gaussian,0.2,0.62316,0.05855726257263055,0.58116,0.6663599999999998,0.611855761295623,0.054646540308688,0.5701979961006938,0.6535135264905525,1.3757739782333374,0.36488744325871586,1.1026446342468261,1.6489033222198486,0.035692504530926136,0.0019252655644450291,0.0341689996446882,0.03713598729736951,0.03528745963972442,0.002042058091386551,0.033816231028498435,0.03691909422115403,0.9998979330062866,2.465502740328774e-05,0.9998788714408875,0.9999169945716858,0.1719321146607399,0.04226962039763736,0.1397150069475174,0.2041492223739624,0.27093999999999996,0.06338361775727226,0.223,0.31858,0.30272486288127165,0.06931871969932878,0.2506209995969829,0.35381620990544427,0.2808738309770785,0.05961107547185809,0.23687774322994107,0.3290842288394885,0.017192481579683262,0.0024805253524223148,0.015719409503936767,0.019442662603417222,0.01659862453460693,0.0029701832625472564,0.014899795438805406,0.019280143223976597,gaussian
HHH,gaussian,0.3,0.47628000000000004,0.08575987989730395,0.42006,0.5523,0.4442901080681647,0.0892920002054302,0.3808106351899789,0.5246841998975054,2.4583971738815307,0.724999876718978,1.9462227821350098,3.073492097854614,0.052642238174749875,0.0039626343206400835,0.04995601443076621,0.05612613345710599,0.051619094951396084,0.004350543793366284,0.04889275232898946,0.05555649102035833,0.9998141884803772,4.7776099208675534e-05,0.9997748255729675,0.9998497605323792,0.271147558093071,0.060981181606234496,0.22119700014591218,0.3154270350933075,0.41782,0.09214706723493703,0.33514,0.4816000000000001,0.4667387821115865,0.09993447096523972,0.37751256329872124,0.5338360918748988,0.44843948420453683,0.09608283723912815,0.3634066272935609,0.5175100037548634,0.03414221522350701,0.004685462669929065,0.03166480492105289,0.038393476267055596,0.0329302598462786,0.005344558131256002,0.029959171882162287,0.03776498465946742,gaussian
HHH,gaussian,0.4,0.37901999999999997,0.08976002450980056,0.31758000000000003,0.45402,0.3266571914993305,0.09833562778702429,0.2594401812918595,0.4120897579559323,3.6652995586395263,1.1010747933489766,2.8681456089019775,4.635557508468628,0.07150175509238729,0.006134257859781602,0.06733823858611439,0.0765973669620436,0.07008000189177843,0.006981746833987023,0.06517339899335588,0.07596787882746482,0.9997284889221192,7.182564227963113e-05,0.9996671676635742,0.9997798442840576,0.34637546837329863,0.06863028495937315,0.2896973878145218,0.39825342297554017,0.51508,0.09656964844090506,0.43552,0.5840799999999999,0.5754594442344443,0.10378599267429273,0.48911032203790733,0.6475035849211677,0.5660724007733711,0.10524685951116858,0.4756624318645855,0.6391379302576208,0.05300173214114441,0.006836894276848836,0.04879917784204289,0.059099839221020134,0.05139116678666096,0.0078795889036415,0.04614155711894132,0.05816695352748948,gaussian
BBB,salt_pepper,0.0,0.91584,0.0023786550821840273,0.9137600000000001,0.9176,0.9144916053430412,0.0023477448489302864,0.9124243285437877,0.9162802604636997,0.28265197277069093,0.003707177774501879,0.27983253002166747,0.28547141551971433,0.0032011022525417565,0.00048485001355310026,0.0029050188997327064,0.0036221256472139945,0.003234369178791435,0.0005233365257333246,0.0028800059327300713,0.003698428045535574,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean
HBB,salt_pepper,0.0,0.91638,0.0018593009439033796,0.9149800000000001,0.9177799999999999,0.9151505160361297,0.0018305255631996028,0.9137542092121638,0.9164869524195935,0.2832034945487976,0.007430886663399658,0.2776042759418488,0.2886632025241852,0.0032699993506742986,0.000517092367223824,0.0029303990406892738,0.0037217697432576392,0.003312132648351241,0.0006059456811933659,0.0029093423312050956,0.0038482087160616506,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean
HHB,salt_pepper,0.0,0.9198599999999999,0.0028254203227130814,0.91766,0.9222400000000001,0.9186179440340909,0.0029015694172393907,0.916382821172865,0.9211106805312482,0.2773395895957947,0.00559195194125449,0.2730044424533844,0.281554514169693,0.0046470480285372056,0.0002787657807319296,0.004426253727990754,0.004867842329083657,0.004568547135372551,0.00034575618626498126,0.004305969978060041,0.00484556265422276,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean
HHH,salt_pepper,0.0,0.8940999999999999,0.008167006795638157,0.8883000000000001,0.9013199999999999,0.8927295922727015,0.008253533092040856,0.8868810729959229,0.8999729301696521,0.3552584707736969,0.024984076658758708,0.3324612081050873,0.370277601480484,0.018500022951242874,0.0015114239059349313,0.017325575389083553,0.019674470513402202,0.018688835105117485,0.001462081046428026,0.017493020102053274,0.019767667216865382,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean
