seed,method_id,method,layer,rule,snapshot,alignment,norm_ratio,alpha_star,scale_matched_bias,update_snr_linear,update_snr_db,matched_bp_snr_linear,mean_update_norm
0,full_bp,BBB,enc3,bp_raw,final_validation_selected,1.0,1.0,1.0,0.0,6.083454442772313,7.841502600954337,6.083454442772313,0.0036664187489077447
0,hybrid_hhb,HHB,enc3,bp_raw,final_validation_selected,1.0,1.0,1.0,0.0,8.051443634500703,9.058737569252074,8.051443634500703,0.013791940584778785
0,hybrid_hbb,HBB,enc2,bp_raw,final_validation_selected,1.0,1.0,1.0,0.0,3.2968468977132677,5.1809877940819105,3.2968468977132677,0.002046982778701931
0,hybrid_hbb,HBB,enc3,bp_raw,final_validation_selected,1.0,1.0,1.0,0.0,2.4233853463156945,3.844224774772622,2.4233853463156945,0.0024348872620612383
1,full_hebbian,HHH,enc1,hebbian_raw,enc1_end,0.33544189322147794,58.22913414245461,0.005760722673698223,0.9420608981727406,505.57435594248255,27.037850372776525,2.2055533864079555,
1,full_hebbian,HHH,enc1,hebbian_effective,enc1_end,0.3354160064780697,0.02911470164719823,11.52013244100192,0.942070000269661,497.1249026835664,26.964655189772017,2.2055533864079555,
1,hybrid_hhb,HHB,enc1,hebbian_raw,enc1_end,0.33544189322147794,58.22913414245461,0.005760722673698223,0.9420608981727406,505.57435594248255,27.037850372776525,2.2055533864079555,
1,hybrid_hhb,HHB,enc1,hebbian_effective,enc1_end,0.3354160064780697,0.02911470164719823,11.52013244100192,0.942070000269661,497.1249026835664,26.964655189772017,2.2055533864079555,
1,hybrid_hbb,HBB,enc1,hebbian_raw,enc1_end,0.33544189322147794,58.22913414245461,0.005760722673698223,0.9420608981727406,505.57435594248255,27.037850372776525,2.2055533864079555,
1,hybrid_hbb,HBB,enc1,hebbian_effective,enc1_end,0.3354160064780697,0.02911470164719823,11.52013244100192,0.942070000269661,497.1249026835664,26.964655189772017,2.2055533864079555,
1,full_hebbian,HHH,enc2,hebbian_raw,enc2_end,0.0425865170461015,5.822793737013137,0.007313760246610829,0.9990927825145905,0.019091477197045716,-17.19160466907246,0.6016415115740611,
1,full_hebbian,HHH,enc2,hebbian_effective,enc2_end,0.041935509542549716,0.0029118790708334077,14.312153084377643,0.9991203213647027,0.01909550588032193,-17.190688317592617,0.6016415115740611,
1,hybrid_hhb,HHB,enc2,hebbian_raw,enc2_end,0.0425865170461015,5.822793737013137,0.007313760246610829,0.9990927825145905,0.019091477197045716,-17.19160466907246,0.6016415115740611,
1,hybrid_hhb,HHB,enc2,hebbian_effective,enc2_end,0.041935509542549716,0.0029118790708334077,14.312153084377643,0.9991203213647027,0.01909550588032193,-17.190688317592617,0.6016415115740611,
1,full_hebbian,HHH,enc3,hebbian_raw,enc3_end,-0.0005787460255406012,1542.9601354561712,-3.750881258938442e-07,0.9999998325205485,2.3040349197755545,3.6248905693472855,3.0176032387948806,
1,full_hebbian,HHH,enc3,hebbian_effective,enc3_end,-0.0003290187266096823,0.7705322929071872,-0.0004270018656347743,0.99999994586738,2.3071834593666467,3.6308212951144734,3.0176032387948806,
1,full_bp,BBB,enc1,bp_raw,final_validation_selected,1.0,1.0,1.0,0.0,1.506294677298877,1.7790994145694452,1.506294677298877,0.0004876690037781373
1,full_bp,BBB,enc2,bp_raw,final_validation_selected,1.0,1.0,1.0,0.0,2.1295903481396903,3.2829606979890773,2.1295903481396903,0.0013587936130352318
